WL_mark,WL_Smoothed_Filtered_right_TA,WL_Smoothed_Filtered_right_RF,WL_Smoothed_Filtered_right_VM,WL_Smoothed_Filtered_right_MG,WL_Smoothed_Filtered_left_TA,WL_Smoothed_Filtered_left_RF,WL_Smoothed_Filtered_left_VM,WL_Smoothed_Filtered_left_MG
0.0,1.9487888025093274,1.8096006005807395,0.0632485153961484,0.23382923184833743,12.162221729917942,0.0495150307596538,0.6172731604681843,10.757797190641554
0.0,3.8474561163092016,3.5621968445987884,0.12394877535649895,0.38352325629195283,10.787997328526778,0.06344039652953459,1.0032502851906981,9.244505406142235
0.0,5.309722450037913,3.8790909264751794,0.17658865391035183,0.7820118004580603,6.825778219466677,0.30949178165383495,2.066713788988761,6.770762025918634
0.0,5.651368607450095,4.098075006181353,0.26976859362104477,1.0807183170377486,3.1617886975368963,0.3667350225954706,4.07487585759809,3.5373851088334813
0.0,4.563411129082315,2.8684310217722873,0.3960982746716063,2.1570138301854884,2.7642131513176,0.4223183558648108,5.25670654067321,3.3700343067918914
0.0,3.463889790473771,2.1197877161311975,0.616898499666282,2.1852477950393245,2.6573528063344547,0.4623683546225618,4.404053159734989,3.8041053401015184
0.0,2.64411659738269,1.8915223066911173,0.9880579376177131,2.9704547918274558,2.5645779230731014,0.34077375972613333,3.9080857212215725,4.436956297891653
0.0,2.9397910510024605,1.613463805568356,2.9135260734673962,3.643135871341437,2.7875755856817768,0.48572296820427263,3.643760447616479,3.8341844456474212
0.0,2.6339157622299867,1.8451460040194316,5.0413546000117275,3.4709529469057885,4.550434909659415,0.7548734673947683,4.864030012622379,3.0911614221049613
0.0,2.5208830299744274,4.3086114960597905,7.951526573462084,2.976022717905039,6.72589497173483,1.2264254969561452,5.2080505599971865,3.0851992626446267
0.0,3.1126283512256343,7.630896705708998,7.595226940026299,2.6002314454284683,7.0689132133144845,1.9219322108047656,5.0820559021066085,3.6944123152793558
0.0,3.89793649700519,9.564266572184465,6.31733773931491,3.1825329275425904,6.379000129811239,6.968255190460995,5.533012818774726,6.57102130322432
0.0,3.8920459709623585,8.436347147891613,3.237756343104177,3.998073074234207,7.043028749841087,10.698235508689532,6.789923187214331,8.879646377035515
0.0,2.9590090129728313,5.265114132351149,4.1362664291854,2.8461586877481357,8.305628709755325,10.79352786326713,6.493419391327854,10.498863537626702
0.0,2.0995844131504784,3.311214078388298,4.5628093588055,1.8483955448387694,10.153969968755918,7.402967239161264,4.503068796187286,8.837369486577119
0.0,3.3827702775743593,2.780214124437397,3.080739335447229,0.8191187254781938,7.323423839496227,3.4137437225672826,2.740444193607802,6.993646475548843
0.0,4.063027705574039,3.722401513796544,5.0253582013095635,0.6804554379446244,5.404393237982267,1.9116325261826217,3.137868755935317,5.355401765543295
0.0,3.747641749458782,4.106593705915236,4.95674626849499,0.8205993387872597,4.346563039707759,4.525787699319963,4.003810097928819,4.405795371136646
0.0,3.040588244668082,4.733522875186679,4.911347521433065,1.9282115107655744,6.018062093179467,7.397751896854516,6.01362414721197,4.412544397664629
0.0,2.2181143147560154,3.9869081344030723,2.742430438441386,2.690916869331511,6.994884564274053,7.437201369386289,6.977407166630674,4.767114677186138
0.0,3.179533797485939,3.9326193137699588,1.3562729493910923,4.28356109698873,7.204607453909588,6.1806450435057725,6.901159073833635,4.5176228343939755
0.0,3.5146733466844067,3.2066698890328587,0.5237688881553534,4.111038306251496,5.681467564430346,1.7590567942458264,6.006232812319103,4.160211364582921
0.0,3.1604136105277925,3.291895210945862,0.858295911966738,3.23107718965889,6.834590257720051,1.18652023927964,5.122152949118794,4.642026523242699
0.0,2.7863521087012355,4.371052481888947,3.7529322381315176,3.154379992145554,7.273485710998151,1.129442464142714,5.158812114226258,4.533430754268468
0.0,2.116034815470162,6.8476130872821095,4.1109735248689026,2.9436808911980674,7.378242386251648,1.3181540060197054,7.221355234124219,3.5489858940710683
0.0,2.353168316318796,7.103503269961384,5.943559179469558,3.981185355637505,6.191030327827667,4.21258522627428,7.576854167665617,3.97636776089303
0.0,2.388967241681415,5.317094445072345,5.466509966870568,5.031473108726547,5.846893944929865,4.483842707263838,6.988938770677731,5.8731302219001496
0.0,1.877035187904777,2.9396767924046965,5.6560944509798405,3.4476478244548625,8.525039628372248,7.085105623852877,5.842371248753176,9.459833576730151
0.0,2.455397506761239,2.8702929592768984,8.931548923090524,3.200786902750532,8.515231481149502,4.861253568194281,4.929989075304203,10.829697034460404
0.0,3.301457113126456,4.280360856945352,6.850296959101765,1.3866349058694034,7.491312494294846,4.417299618837971,4.849072213796161,8.285501237324588
0.0,3.9329270306077775,5.945010543591483,6.037616737755317,1.2742949734018083,4.49156937691021,4.105630430226019,6.380391344208455,4.627296938348897
0.0,4.183114183102526,6.647490229258369,3.906960313592818,1.228121285204129,4.317687644837909,4.162810798368292,8.02650774657027,3.1323637132964954
0.0,4.056228247940853,6.099220534017153,4.699502968027432,2.067045441813372,5.070003523257897,7.003681847984246,10.020785214586247,3.3357353359601003
0.0,5.377143777876433,6.582952839130997,4.815741893454599,3.9302996209458243,6.223894522682507,7.06474569662597,9.153088118186563,4.791096977766776
