MAV_mark,MAV_Smoothed_Filtered_right_TA,MAV_Smoothed_Filtered_right_RF,MAV_Smoothed_Filtered_right_VM,MAV_Smoothed_Filtered_right_MG,MAV_Smoothed_Filtered_left_TA,MAV_Smoothed_Filtered_left_RF,MAV_Smoothed_Filtered_left_VM,MAV_Smoothed_Filtered_left_MG,Label
0.0,0.069691580247397,0.0664246509699056,0.0707786846579342,0.0762596862449744,0.0857078919202288,0.1237320098535467,0.0824980462868077,0.086004432504605,1
0.0,0.0210454147995836,0.1259501131096722,0.0343477248840854,0.0774241287654957,0.0665591322131182,0.0336744001506443,0.030117021157773,0.0188244891306904,1
0.0,0.093066008721547,0.0935496521089457,0.1857957618490061,0.7166602503709616,1.125296274148725,0.1337296275031311,0.562643303615432,0.755882084141944,0
0.0,0.0760092044446853,0.0896999194965609,2.6908244778897044,0.0330139649946529,0.0695360356687185,1.5128731505467068,0.0671167987192214,0.1315507596289025,1
0.0,0.0197587692179877,0.2322938002293447,0.0385938670901658,0.0288561726708906,0.0832331127526128,0.0472949063872947,0.0284021283511324,0.0128206617306073,1
0.0,0.0701712176272927,0.1093616051876619,0.0523339206014701,0.0828988011090133,0.1541493916557181,0.1137431613270312,0.0900990529718484,0.1639871692838902,1
0.0,0.0761673700263166,0.0613603324903189,0.0266350255075237,0.0768909386218165,0.0627176010801569,0.0316941477549538,0.0468398094215756,0.0207121371218774,0
0.0,0.03984914808521,0.159467201653906,0.051104240770516,0.1677231316025745,0.3476787236184493,0.2447416357760717,0.1118005929257803,0.3865556733390267,1
0.0,0.045842178974375,0.0994819270549055,0.021063387968601,0.1168193858827207,0.072371547831232,0.1299433429368636,0.0698268525063905,0.0494650554097267,1
0.0,2.7749278416197214,0.088601446578392,0.0154251982555934,0.2002290872448553,0.0985571204078247,0.0499852727055933,0.0884000951797238,0.0847487167612731,0
0.0,0.0601218385268064,0.0577666375854136,0.0698230929751362,0.1336083841880015,0.131861323569953,0.1165624716700817,0.0791403574493008,0.0835248487466805,1
0.0,0.1633692856382108,0.1318502024771553,0.0441300036441079,0.0689569625651992,0.0651162775624077,0.073977324666408,0.0815681894313345,0.031592531849633,1
0.0,0.137219095213947,0.1714941782810589,0.0456858114703601,0.341410215331289,0.2598202509385727,0.2165002182860843,0.1779535277849163,0.1634640036146545,0
0.0,0.1164633746088038,0.1184602818655042,5.225441911040693,0.1555764822363652,0.1225820429745834,0.3243233672754551,0.1518004909936416,0.2288765702811172,1
0.0,0.0295307477115525,0.023352038782875,0.009075190102557,0.0138882779414356,0.0050698882447301,0.0405738960464456,0.0090777363713382,0.0115003268058664,1
0.0,0.0630362915869749,0.2073198050391856,0.1391045157267951,0.0239377818169768,0.0575485028019361,0.0411867687631854,0.0222746988096054,0.0601506353580741,1
