MNF_mark,MNF_Smoothed_Filtered_right_TA,MNF_Smoothed_Filtered_right_RF,MNF_Smoothed_Filtered_right_VM,MNF_Smoothed_Filtered_right_MG,MNF_Smoothed_Filtered_left_TA,MNF_Smoothed_Filtered_left_RF,MNF_Smoothed_Filtered_left_VM,MNF_Smoothed_Filtered_left_MG
,42.642134994603715,41.926423283629,59.458183367326036,28.807602363282218,60.267538128173584,72.61242053695189,71.57708117688806,49.47846292431035
,30.985559964661967,35.44251445216533,59.45798235142826,27.294216103270198,104.34718525084364,74.45136606508021,70.49453773691803,48.06216404024917
,34.254760829779805,29.852310954772033,59.25493987214727,28.749993842802997,100.37293694628246,77.8165408355954,46.279480959615825,46.35382827372017
,36.446497269758844,36.53103757397873,59.36037109291899,31.254244865339203,92.29141565073563,93.37704416905271,38.5791341553555,43.845450687669704
,66.64295377727697,37.54514853132733,43.92443618782044,37.83150614766567,88.99391273376048,44.239528253372775,35.712691280306046,52.524863356121614
,58.94029187878636,49.04128757429045,55.4365178280861,38.59239496812637,57.974652949942815,35.030120558855344,34.370720090513444,52.7481480618251
,58.00613472746446,57.88290177937921,51.62277682312752,56.1325548589604,38.473331055941635,37.9323988993572,34.13017344213632,37.45157967855335
,58.210985238753295,71.06817357243727,49.22946523162419,60.34506030905268,33.71686149027593,45.24821208486488,31.30586635936617,37.38352924229405
,82.72746350474237,74.36716399348246,52.22636566329503,58.05783127699169,40.682265462505555,31.29834134968459,29.47526205975147,29.047120428737497
,110.2747284355595,61.40659985021626,54.38831681788561,48.24434524039898,53.5573974268258,36.167869272351545,26.004337907148585,36.00352332266833
,62.858763694285685,37.63427744677485,51.10458665846099,50.417846022243964,52.82465236201682,46.865867214851,29.000896346117152,45.32664960570007
,46.759398124160356,37.46888512427417,52.592104320824916,48.71130402752426,55.638827928786505,38.73276939436894,42.2461462604155,45.412529869027416
,34.45000150351993,46.598878687311974,52.57015886789625,39.509290804322944,62.13995382242659,48.999036668623276,37.20279864567931,40.03864704531662
,68.62750327051131,41.981156864893315,52.32155190677935,54.276587293980064,54.3301140050357,61.82411025314051,35.56663843642993,35.89630306242129
,47.730393799467514,41.94985672125751,48.75608740188328,40.93140661837688,72.44721685455522,48.17552290626341,37.43818113955965,35.37345745649397
,37.6396534837388,42.381996023646316,54.85993416648461,28.459501915538315,62.690475538582994,41.74751726581671,42.03961572215329,64.41120282824915
,38.6258761741764,36.74788753072484,46.64005323215505,28.678761190037292,61.55744681603256,41.32554494003188,82.16067163316457,50.336440686549516
,42.56445173554431,35.29450489046161,53.21982349143032,33.35042941434781,51.18089172341567,48.23159357120869,58.4444606582462,55.49076821043164
,70.93389445703707,32.51560213194495,53.04421203776888,30.91728325342068,60.56811854481917,44.42119080925202,28.65554793504604,53.11912192680929
,94.21127282588733,30.651356911361724,37.213946166960206,48.672505960944655,50.617243606989234,49.835204140159895,37.758158127957834,34.84761970649653
,79.54232323577563,40.08175485341978,39.17760906768997,47.8102733382943,51.1022601391528,45.37770450398722,48.01558004053363,50.41561348802604
,38.57314835081201,56.081031174245474,54.08949478905255,37.90774866576417,44.439572714280494,37.59226404272789,39.99404261363737,45.52287105024903
,35.84295666035433,61.280540397140314,52.56156581325915,35.5206987436644,31.592177181932183,34.40728159585759,32.99714923001856,38.25337656381374
,60.078026021507334,40.66610578176529,54.972857720856474,45.73871129407796,34.76482606233658,31.817394344978243,32.35845000170972,39.353249936777765
,58.91315456534761,36.60043173249178,72.51286428541658,59.307215761053534,45.317718475186936,34.36601897885129,47.098416619800226,39.4098353932489
,33.79330859981707,41.388681766383755,46.367305455020116,43.72607637729197,50.4766220228016,60.08854848341146,43.421283725192744,42.966040121051385
,29.279935242005376,38.3137452056956,50.21115759910369,41.581575674424506,50.723942812824184,52.80896229063137,37.924125251034845,46.99202456218882
,35.502284969776596,41.44298491060562,48.728573462325336,39.53595194733383,58.346748158995204,53.27470765771309,29.268244828695913,51.97912985897582
,44.710637637384195,39.48639443400763,54.85719821849736,28.749059914601634,110.97236897181054,52.91765396330655,30.652063571683385,53.75442801772303
,45.47827258983954,34.14584071077598,46.572971425988364,33.707971353967935,66.56406022333795,48.04068024347125,39.938248094069685,45.174664505564905
,35.02514472919197,30.485405049000548,41.080713432084366,35.19343492275472,86.24397876534256,48.75271245119291,40.909391334395785,45.057170430230656
,39.76094609731352,43.4494593159267,80.99494464154017,32.416659390295045,81.2218498826371,56.82582388989032,37.38652314944735,68.11165273608434
