RMS_Smoothed_Filtered_right_TA,RMS_Smoothed_Filtered_right_RF,RMS_Smoothed_Filtered_right_VM,RMS_Smoothed_Filtered_right_MG,RMS_Smoothed_Filtered_left_TA,RMS_Smoothed_Filtered_left_RF,RMS_Smoothed_Filtered_left_VM,RMS_Smoothed_Filtered_left_MG
0.10228082762125185,0.45380380519514346,0.2302615028808646,0.2604701007557518,0.12001061729816499,0.030256048594272417,0.03265252393464793,0.1169829411498464
0.09956357807955236,0.5369663101172727,0.1331325376643309,0.28388401107595107,0.08389941129975154,0.02750830290706304,0.027994058517739416,0.16741871761446087
0.09588213618480969,0.5607772437646631,0.10418831200791084,0.28238017303918883,0.06264891241788245,0.017940615772304765,0.021942517370528155,0.16759187191340114
0.08268426685711587,0.5300801896345592,0.10172411833919956,0.2142758923502042,0.055831526192655495,0.042382409906333324,0.023072813642062536,0.1489504010808191
0.05601577980151041,0.4026717737666991,0.09866203678773741,0.033654677577023166,0.0745139430690036,0.050464199225523136,0.027141894667639176,0.1532623845060392
0.04058739474999663,0.23864632802243718,0.07235876388334715,0.05695964462957801,0.23878254881008007,0.09575853773544445,0.03814801089867726,0.21954807917210978
0.04599991697517405,0.16543533865976098,0.03791721655650098,0.12144063759752889,0.48249105320854824,0.10975740855710188,0.053621539777517276,0.3007563167553489
0.04005522151861745,0.13684427519881812,0.03403640285742944,0.20214339231962686,0.6186809386541813,0.11204570577379716,0.0571964744533825,0.2832931999650126
0.04940510453439225,0.16930200785244753,0.03844248085764688,0.2499601701850364,0.619733844158754,0.13882425721314967,0.06262390559221666,0.23581158508944272
0.04997804411145049,0.31643713671522744,0.08844963660350659,0.2486658432831526,0.4379030853142631,0.2874160001299732,0.06871727166474481,0.14764178486546672
0.04841193641973883,0.3638583566386992,0.0961603831451315,0.23120697569054502,0.30981924813245815,0.32323453340130465,0.06168018153139704,0.09049114149753507
0.05736091052867996,0.3540828442433469,0.09535610263537642,0.19625762769952604,0.19282364318786843,0.3264032934177485,0.14812775244138413,0.10605302190610218
0.0706333835663492,0.23477045724791898,0.08967732540798044,0.26162911406344413,0.19052829689274237,0.272331924279215,0.21064568399461744,0.12870575467875797
0.07746941904530237,0.26987737780749604,0.10104089944166357,0.5121470221580164,0.2007437700302165,0.1774177420438126,0.21100591345903194,0.23020619424756447
0.07331334474116795,0.4893620155698553,0.30567163076816034,1.360527150388207,0.1918936518379236,0.33610477811489964,0.22521280580233285,0.28917131133168344
0.07396230293518334,0.6319180959383004,0.3524369685005548,1.367196388019881,0.17531140505838153,0.3330390857332999,0.1273070395828994,0.27511697680610125
