RMS_Smoothed_Filtered_right_TA,RMS_Smoothed_Filtered_right_RF,RMS_Smoothed_Filtered_right_VM,RMS_Smoothed_Filtered_right_MG,RMS_Smoothed_Filtered_left_TA,RMS_Smoothed_Filtered_left_RF,RMS_Smoothed_Filtered_left_VM,RMS_Smoothed_Filtered_left_MG,MAV_mark,MAV_Smoothed_Filtered_right_TA,MAV_Smoothed_Filtered_right_RF,MAV_Smoothed_Filtered_right_VM,MAV_Smoothed_Filtered_right_MG,MAV_Smoothed_Filtered_left_TA,MAV_Smoothed_Filtered_left_RF,MAV_Smoothed_Filtered_left_VM,MAV_Smoothed_Filtered_left_MG,WL_mark,WL_Smoothed_Filtered_right_TA,WL_Smoothed_Filtered_right_RF,WL_Smoothed_Filtered_right_VM,WL_Smoothed_Filtered_right_MG,WL_Smoothed_Filtered_left_TA,WL_Smoothed_Filtered_left_RF,WL_Smoothed_Filtered_left_VM,WL_Smoothed_Filtered_left_MG,MDF_mark,MDF_Smoothed_Filtered_right_TA,MDF_Smoothed_Filtered_right_RF,MDF_Smoothed_Filtered_right_VM,MDF_Smoothed_Filtered_right_MG,MDF_Smoothed_Filtered_left_TA,MDF_Smoothed_Filtered_left_RF,MDF_Smoothed_Filtered_left_VM,MDF_Smoothed_Filtered_left_MG
0.5006485369927883,0.5088520341916795,0.4987567731316923,0.5002658277784368,0.5022847422625838,0.5009799390486531,0.504725699566643,0.5179179640604712,0.0,0.0462137738870365,0.0414138061322848,0.0186656042187144,0.0122661614091125,0.020065380370972,0.0058604368612156,0.0060790753473395,0.0999550746677359,0.0,1.703972098116343,4.087798725423581,1.816190947378852,2.189846091445436,4.5541559347136245,1.4403908182911929,1.882750461494181,12.114585950961589,0.0,136.0,28.0,44.0,84.0,104.0,48.0,52.0,68.0
0.5005408726259011,0.510741774394753,0.4987361787610479,0.5011392024359403,0.5163772348698086,0.519664252494539,0.5067796890022725,0.5081461889667933,0.0,0.0545023853058787,0.0468368273338709,0.0242432366401666,0.0139671816640661,0.0367747021570971,0.0282040653221877,0.0122605388047765,0.0548186166975962,0.0,2.086046666624796,4.724926831995702,2.223984431881828,2.478330945279444,6.688125150113135,6.879338436073104,2.7182937347333134,6.554000158230185,0.0,132.0,28.0,48.0,64.0,36.0,48.0,28.0,48.0
0.5006036955500255,0.5113709288287012,0.4980130337423394,0.5003357608011734,0.5251119164809233,0.5407666644382096,0.5105733589474167,0.505427400837309,0.0,0.0449556763613431,0.0454388905390797,0.0250350504729875,0.0107972020999758,0.0609213525112535,0.0693669842591659,0.0153856439155213,0.0289762605501155,0.0,1.687343168670254,4.7467908503593,2.3754361993229747,1.6499980636873328,12.413864973451888,10.692002584459228,3.4449478747566125,3.058146257371255,0.0,100.0,32.0,44.0,44.0,36.0,40.0,32.0,96.0
0.5004809950555714,0.5055870648659797,0.4981530141692952,0.5013650245425396,0.5263892826738071,0.5596252437517647,0.5114758684840884,0.5049046034749086,0.0,0.0256482274501961,0.0218898404176283,0.0227377931025466,0.0167401064339205,0.0705580814541863,0.0816423522433894,0.0169589604744948,0.0132048531892423,0.0,0.8495271478257169,3.1622836105516186,2.142658516189891,2.227361210547425,16.075187312000516,11.480216098239104,3.7916169609085824,1.3060539356576475,0.0,100.0,36.0,52.0,64.0,64.0,36.0,36.0,48.0
0.5007092199959721,0.5055925285209569,0.4983654014823076,0.5128502300809935,0.5217642340517172,0.5573469990445254,0.514156884663602,0.5096701196546365,0.0,0.0158135647805028,0.0207227422922954,0.0175200596408995,0.0433064551915125,0.0677161531570289,0.0719667076538484,0.0171168118029084,0.0589915008071415,0.0,0.4282947487842926,2.730199326967464,1.793656746937378,4.318622140054247,15.998201882284771,8.221111169879627,3.9601462188672096,3.285719912642662,0.0,52.0,52.0,52.0,36.0,92.0,28.0,32.0,32.0
0.5001263761520784,0.502413871330376,0.4988476730997615,0.5147912695296522,0.5129351982641345,0.515361936386469,0.5083207616791253,0.5162850484806677,0.0,0.0124258598952378,0.0187716122397344,0.0202625971800753,0.075258203545188,0.0488711873635229,0.0357064893589846,0.0117752099307341,0.0822360335864019,0.0,0.2311624803140457,2.4727010349272183,1.7512894715941398,8.75460170497124,12.763275345147015,4.2910652832048495,3.2560156687754,3.9436653002861433,0.0,28.0,28.0,44.0,36.0,84.0,24.0,32.0,28.0
0.500380670929553,0.5028724739847568,0.4987271910622,0.521330568755263,0.5088226040515954,0.5055099356031301,0.5046834626851137,0.5172955570944745,0.0,0.0179762193611268,0.0186560010405392,0.0211279829664119,0.0920157686744301,0.0407595619370203,0.0213784981231707,0.0133018232988009,0.0931704083019778,0.0,0.3321187438195947,2.3533696186991264,1.739917613091886,13.526723014818128,10.227034220882866,3.4495691156507537,3.8387967965307297,4.52664301293386,0.0,24.0,28.0,40.0,36.0,72.0,24.0,44.0,24.0
0.5001830066673216,0.5031432673291905,0.4979898005791526,0.5153962453196514,0.5117013554428899,0.507554774249811,0.5086630426330686,0.5057607906436958,0.0,0.0269181441316723,0.0257481056189735,0.0180272796367887,0.0718508802756436,0.0459632229920624,0.031954166025674,0.0181171830946406,0.0784042461000463,0.0,0.4149157745594925,2.711647959825521,1.350949140615436,11.835769828630989,11.2010578859841,5.203240969484481,6.71774546624437,3.9788771444321727,0.0,32.0,28.0,48.0,56.0,88.0,28.0,56.0,28.0
0.5001177610991524,0.5119964809140728,0.4980563969441027,0.5138874341206943,0.5144980588463621,0.5126125484703589,0.5139939330058851,0.5068123338067884,0.0,0.0392404672789749,0.0451692502882921,0.0201700717299357,0.0501536196456654,0.0469153536438933,0.0379386352568238,0.0227974955962941,0.0431584743680212,0.0,0.6417241627329439,4.839548508090428,1.3141271136279529,9.445902031625778,10.567850881372603,5.870835776920562,7.787364295995143,3.2566540585794552,0.0,28.0,28.0,32.0,84.0,84.0,24.0,92.0,28.0
0.5008076903716017,0.5140197642613795,0.4988151843662087,0.5013313577055082,0.5079321140182429,0.5121606246303393,0.5118830173309534,0.5159614805798,0.0,0.0537047705056739,0.0706826451664349,0.0183240908177416,0.0287449456889463,0.0424815460461857,0.0324794833370676,0.021950426188736,0.0656874253905174,0.0,0.9671870194064108,6.931633295535381,1.1282388647523454,2.635902172993597,8.657844406189168,5.526951995651429,7.517651492810151,6.592597777480308,0.0,28.0,28.0,32.0,28.0,44.0,24.0,36.0,52.0
