SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,80,57,47,77,38,54,46,27
0,76,48,45,74,46,83,56,20
0,66,44,46,71,55,110,59,27
0,53,43,45,61,46,103,58,30
0,56,38,45,48,43,76,59,41
0,65,33,45,42,45,51,54,49
0,73,30,44,33,56,47,53,54
0,78,34,56,37,62,46,50,52
0,76,40,65,41,69,44,50,44
0,71,54,67,43,67,41,45,39
0,73,57,61,51,61,39,40,32
0,74,58,54,47,59,38,35,30
0,79,47,54,53,51,43,36,38
0,76,43,44,61,56,42,42,39
0,72,46,36,70,53,51,55,44
0,70,45,38,72,63,52,63,41
0,71,42,52,65,55,54,61,43
0,60,38,65,59,49,58,57,50
0,63,38,60,46,48,64,53,59
0,63,41,50,47,58,65,56,66
0,62,47,40,38,67,59,58,60
0,62,54,47,43,73,54,63,57
0,65,45,53,54,72,43,51,57
0,68,42,54,63,58,37,48,54
0,69,36,56,61,45,30,38,56
0,67,34,54,67,33,25,34,47
0,68,37,46,69,35,31,32,43
0,66,43,44,71,32,42,44,31
0,62,49,49,68,33,49,56,33
0,67,51,49,74,47,46,70,35
0,69,61,45,66,59,48,75,40
0,73,52,41,60,54,47,65,42
0,72,56,45,49,52,52,53,46
0,65,46,45,49,53,54,45,47
0,60,51,51,47,63,54,46,49
0,64,49,54,47,73,46,41,56
0,63,54,54,48,59,38,39,69
0,66,52,51,46,52,36,36,78
0,75,59,55,53,48,42,34,90
0,79,59,55,57,40,44,38,70
0,85,59,51,64,43,43,39,57
0,84,46,38,77,34,37,48,35
0,70,46,39,77,45,39,60,34
0,58,47,38,73,47,42,66,49
0,47,55,38,56,52,46,63,56
0,51,67,47,47,46,46,57,61
0,55,66,40,46,44,54,57,53
0,63,58,45,46,49,57,59,49
0,67,54,46,47,57,48,58,48
0,66,54,52,45,57,44,57,53
0,68,58,62,51,54,36,45,45
0,79,55,60,51,49,36,37,47
0,77,44,58,61,49,33,24,44
0,92,51,49,69,45,35,23,46
0,92,49,48,77,40,35,33,52
0,94,54,40,79,30,44,49,52
0,78,43,44,80,37,46,60,47
0,58,48,46,74,41,57,54,46
0,46,45,48,63,51,45,44,37
0,43,52,47,50,53,46,27,34
0,51,47,48,44,53,49,34,36
0,49,51,59,43,44,51,36,43
0,51,60,71,44,43,52,46,53
0,57,68,68,44,53,45,41,58
0,55,60,64,51,48,40,42,56
0,57,53,59,56,47,48,41,35
0,60,51,58,55,41,44,33,35
0,74,50,61,41,39,46,32,34
0,86,64,78,48,65,88,77,30
0,88,56,75,37,69,81,80,32
0,82,51,66,46,72,75,72,43
0,71,52,66,49,85,61,64,56
0,59,58,58,62,78,57,47,55
0,67,64,58,60,74,44,42,45
0,70,73,60,57,73,38,34,34
0,76,69,65,42,67,32,34,30
0,76,82,66,54,57,40,40,30
0,71,80,65,70,54,46,51,30
0,62,76,59,84,52,58,61,36
0,48,71,53,81,56,62,69,40
0,45,60,50,67,57,63,69,46
0,44,47,39,59,55,63,63,44
0,56,47,28,50,53,63,60,42
0,61,42,31,48,58,68,50,39
0,55,49,45,40,64,65,60,42
0,55,48,58,41,83,59,57,42
0,54,57,67,53,72,49,61,36
0,60,54,65,53,60,45,51,30
0,59,64,68,47,51,39,38,21
0,64,51,65,52,51,44,33,31
0,69,53,61,59,59,42,37,35
0,70,37,48,72,54,42,47,45
0,61,35,39,80,57,56,61,44
0,56,45,35,64,60,57,66,48
0,47,58,41,60,60,58,62,46
0,55,66,45,47,45,46,54,45
0,61,60,46,45,44,41,52,39
0,59,52,43,44,45,46,56,44
0,60,46,51,36,51,52,61,45
0,56,45,65,38,55,56,53,44
0,55,50,71,39,51,48,46,37
0,54,51,68,37,52,52,38,34
0,58,53,59,38,54,47,34,40
0,59,48,56,48,61,42,41,33
0,58,47,52,60,59,46,47,36
0,48,36,45,71,58,44,63,35
0,40,39,45,62,54,51,65,41
0,44,43,40,52,59,51,67,51
0,53,47,35,40,54,65,69,54
0,59,44,37,43,53,67,66,53
0,60,34,39,42,50,67,58,52
0,47,39,42,38,54,55,55,45
0,45,54,49,41,46,48,45,43
0,45,61,57,38,39,46,39,38
0,51,59,59,37,26,49,31,36
0,50,53,64,41,28,48,30,34
0,63,54,58,40,39,49,31,35
0,68,50,55,52,42,42,39,31
0,67,42,36,68,46,51,49,30
0,60,33,34,72,49,60,62,28
0,51,28,35,55,52,65,63,31
0,52,37,38,51,58,66,63,40
0,51,43,34,42,46,63,55,35
0,56,58,33,48,45,57,43,45
0,57,52,41,41,40,58,49,45
0,52,50,53,38,56,50,49,49
0,55,50,61,33,55,46,49,49
0,57,53,67,37,51,43,43,44
0,62,54,67,40,35,48,38,37
0,56,50,66,41,42,47,30,26
0,60,51,58,44,41,39,36,29
0,61,53,46,56,37,39,45,36
0,68,48,42,62,33,40,56,44
0,70,43,34,57,42,51,59,43
0,68,41,35,44,44,52,57,38
0,72,45,32,34,45,52,52,36
0,81,50,32,34,33,51,53,34
0,81,47,37,39,39,46,54,43
0,69,45,45,35,51,54,67,46
0,64,40,50,33,53,46,67,51
0,60,41,57,36,48,52,57,44
0,57,38,51,39,47,40,51,32
0,49,40,49,41,54,49,39,27
0,43,47,51,45,57,43,39,24
0,56,54,48,46,57,46,46,28
0,69,56,47,63,47,42,47,34
0,69,47,41,63,46,50,59,36
0,68,45,43,61,43,46,63,35
0,61,44,45,56,40,49,59,31
0,61,51,41,47,37,59,56,38
0,63,45,36,47,33,60,42,42
0,65,43,39,34,39,63,44,42
0,64,38,49,35,35,56,46,49
0,64,36,58,35,37,62,49,47
0,57,37,64,48,40,58,45,44
0,66,43,63,51,43,58,34,37
0,61,52,65,51,49,36,30,28
0,59,68,52,51,50,43,31,30
0,58,56,44,60,46,35,40,32
0,47,45,39,69,49,51,55,31
0,43,31,37,86,53,55,68,34
0,36,40,39,71,56,60,74,31
0,34,43,31,51,57,61,64,33
0,47,47,39,32,48,62,55,40
0,48,41,35,28,40,62,45,42
0,51,36,44,38,44,57,46,41
0,48,40,38,38,48,55,55,40
0,55,50,46,37,55,44,50,31
0,59,56,54,31,55,39,50,28
0,63,59,67,42,56,36,53,24
0,56,59,73,49,49,38,50,27
0,60,60,73,58,53,41,57,28
0,56,61,58,57,46,36,56,28
0,63,54,45,62,45,31,53,30
0,60,48,45,63,48,38,55,35
0,56,46,51,61,58,39,54,44
0,50,54,59,61,60,47,57,42
0,52,48,56,48,64,47,56,40
0,63,49,56,58,51,54,55,41
0,63,49,53,54,35,53,50,48
0,53,50,61,49,37,50,46,52
0,59,56,61,38,37,44,41,55
0,49,55,64,37,47,38,46,45
0,61,56,60,35,51,46,43,42
0,68,55,62,41,59,46,46,41
0,73,53,59,45,57,42,41,37
0,52,52,55,36,68,78,78,32
0,50,49,70,47,68,77,74,35
0,54,54,72,42,68,71,70,42
0,60,62,80,41,77,67,58,40
0,68,63,71,36,75,70,50,40
0,75,70,70,33,75,59,44,35
0,80,67,74,36,68,66,45,28
0,75,76,76,34,64,46,52,30
0,76,68,76,42,57,51,52,36
0,80,59,68,52,53,51,59,41
0,66,45,59,52,53,54,66,46
0,56,49,49,66,61,57,77,51
0,49,50,47,57,60,60,73,43
0,50,60,33,51,65,68,70,52
0,52,56,29,29,71,69,62,48
0,54,61,39,24,81,66,62,54
0,61,66,49,29,95,60,55,52
0,65,68,62,28,82,58,50,57
0,60,75,59,37,71,48,46,56
0,57,76,61,33,61,38,37,44
0,61,71,56,47,55,30,34,33
0,65,66,59,53,49,34,37,29
0,67,47,47,70,48,40,46,33
0,60,33,46,78,55,40,59,40
0,58,32,50,77,56,47,60,40
0,56,38,45,65,49,44,67,43
0,59,44,45,47,42,63,63,49
0,54,38,37,57,50,67,64,54
0,53,44,35,57,61,67,69,59
0,51,44,41,53,74,60,70,61
0,57,52,39,45,67,43,63,60
0,57,53,50,36,58,42,49,47
0,66,47,53,49,42,53,34,41
0,65,48,54,53,43,55,37,36
0,66,43,54,61,45,49,44,34
0,66,50,49,58,48,46,53,30
0,58,45,52,51,54,50,64,29
0,56,51,45,42,48,59,67,32
0,59,52,49,42,48,53,70,41
0,52,53,45,40,49,55,75,49
0,56,51,51,39,47,52,68,46
0,48,47,49,35,51,59,66,47
0,50,48,58,38,60,62,66,53
0,56,55,60,43,64,62,57,58
0,59,56,68,51,72,55,54,54
0,69,65,68,46,69,49,42,46
0,66,76,68,39,61,46,30,35
0,76,69,58,33,56,37,28,30
0,79,64,51,49,50,35,36,24
0,84,50,47,71,54,45,54,27
0,70,45,50,76,57,61,66,34
0,65,41,50,61,60,65,64,44
0,62,46,45,54,51,59,57,48
0,67,51,40,36,46,52,59,43
0,57,61,41,48,45,50,57,45
0,46,54,52,46,50,53,64,46
