Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,Comp Ch 1,Comp Ch 2,Comp Ch 3,Comp Ch 4,Comp Ch 5,Comp Ch 6,Comp Ch 7,Comp Ch 8,Comp Ch 9,Comp Ch 10,Comp Ch 11,Comp Ch 12,Comp Ch 13,Comp Ch 14,Comp Ch 15,Comp Ch 16,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG,Filtered_Comp Ch 1,Filtered_Comp Ch 2,Filtered_Comp Ch 3,Filtered_Comp Ch 4,Filtered_Comp Ch 5,Filtered_Comp Ch 6,Filtered_Comp Ch 7,Filtered_Comp Ch 8,Filtered_Comp Ch 9,Filtered_Comp Ch 10,Filtered_Comp Ch 11,Filtered_Comp Ch 12,Filtered_Comp Ch 13,Filtered_Comp Ch 14,Filtered_Comp Ch 15,Filtered_Comp Ch 16,Smoothed_Filtered_right_TA,Smoothed_Filtered_right_RF,Smoothed_Filtered_right_VM,Smoothed_Filtered_right_MG,Smoothed_Filtered_left_TA,Smoothed_Filtered_left_RF,Smoothed_Filtered_left_VM,Smoothed_Filtered_left_MG,Smoothed_Filtered_Comp Ch 1,Smoothed_Filtered_Comp Ch 2,Smoothed_Filtered_Comp Ch 3,Smoothed_Filtered_Comp Ch 4,Smoothed_Filtered_Comp Ch 5,Smoothed_Filtered_Comp Ch 6,Smoothed_Filtered_Comp Ch 7,Smoothed_Filtered_Comp Ch 8,Smoothed_Filtered_Comp Ch 9,Smoothed_Filtered_Comp Ch 10,Smoothed_Filtered_Comp Ch 11,Smoothed_Filtered_Comp Ch 12,Smoothed_Filtered_Comp Ch 13,Smoothed_Filtered_Comp Ch 14,Smoothed_Filtered_Comp Ch 15,Smoothed_Filtered_Comp Ch 16
7.135,0.00788738,-0.00373354,0.130758,2.15544,0.0512907,-0.1969,-0.0801002,0.193041,0.00176935,0.0104642,0.168751,1.98963,0.0782807,-0.163697,-0.0555421,0.190958,0.0126545,0.0167836,0.0756054,1.23923,0.0227334,-0.00927367,-0.048812,0.109729,0,0.0446170218650862,-0.0098635328143941,0.0581879740634221,1.68087654787003,0.0408584782607881,0.0330786681878302,-0.104930719658923,0.1178068002396801,0.0368495668172779,0.0048736699759092,0.0786396273384016,1.58543631755622,0.0731170478035835,0.0196317742847295,-0.0894215232413967,0.0915402268427935,0.0199365494572077,0.0201264222061824,0.0640054798752811,1.1602217317010692,-0.0013063011418257,0.0060678021063199,-0.0597961054564821,0.0848373524434199,0.0446170218650862,-0.0098635328143941,0.0581879740634221,1.1517858021465102,0.0408584782607881,0.0330786681878302,-0.104930719658923,0.1178068002396801,0.0368495668172779,0.0048736699759092,0.0786396273384016,1.090770417581714,0.0731170478035835,0.0196317742847295,-0.0894215232413967,0.0915402268427935,0.0199365494572077,0.0201264222061824,0.0640054798752811,0.7692284065365381,-0.0013063011418257,0.0060678021063199,-0.0597961054564821,0.0848373524434199
7.136,-0.0109039,-0.0256513,0.129997,2.56263,0.0279652,-0.217958,-0.04715,0.193706,-0.00640321,-0.00691785,0.166397,2.35108,0.0463653,-0.174321,-0.0219124,0.189411,0.00532423,0.00636029,0.0733079,1.54679,0.00127816,-0.0102746,-0.0144251,0.0951345,0,0.0333813359015984,-0.0277348316784409,0.0567811802170309,2.050954448848469,0.0395222455530795,0.0295692297384172,-0.074101733653811,0.0980325756917843,0.0313829796173849,-0.008403266365681,0.0763913887417657,1.9146383781708576,0.0718020158620521,0.0248707249081281,-0.0548271650986957,0.0807999090750999,0.0137046198088737,0.0087336183987668,0.0613862238979321,1.4577975096930853,-0.0115432904470007,0.0131380551766381,-0.0246135375303071,0.0673808318715463,0.0333813359015984,-0.0277348316784409,0.0567811802170309,1.113515146806848,0.0395222455530795,0.0295692297384172,-0.074101733653811,0.0980325756917843,0.0313829796173849,-0.008403266365681,0.0763913887417657,1.0885423134148324,0.0718020158620521,0.0248707249081281,-0.0548271650986957,0.0807999090750999,0.0137046198088737,0.0087336183987668,0.0613862238979321,0.8351542704803601,-0.0115432904470007,0.0131380551766381,-0.0246135375303071,0.0673808318715463
7.137,-0.0176218,-0.0428746,0.125538,2.98668,0.0134137,-0.218635,0.0450872,0.197586,-0.00571079,-0.0253425,0.152121,2.75956,0.0206704,-0.196929,0.0636789,0.19428,0.00633102,-0.00486809,0.0595224,1.92013,-0.011416,-0.025556,0.0695911,0.0886194,0,0.0322875391350815,-0.0404290466158834,0.0503995238393861,2.450395931986251,0.0493756046348183,0.0394787707063019,0.0120342283242311,0.080661833187464,0.0337981935551553,-0.0224177993247604,0.0630667933794297,2.292334213868727,0.0765819501949979,0.0181582882842076,0.0284491716399246,0.0774058209205595,0.0162203974612093,-0.0038854055966619,0.0480377506880335,1.829759099909193,-0.0146221121059269,0.0087929969632766,0.0583522195074076,0.0576074839517,0.0322875391350815,-0.0404290466158834,0.0503995238393861,1.0752444914671857,0.0493756046348183,0.0394787707063019,0.0120342283242311,0.080661833187464,0.0337981935551553,-0.0224177993247604,0.0630667933794297,1.0863142092479507,0.0765819501949979,0.0181582882842076,0.0284491716399246,0.0774058209205595,0.0162203974612093,-0.0038854055966619,0.0480377506880335,0.901080134424182,-0.0146221121059269,0.0087929969632766,0.0583522195074076,0.0576074839517
7.138,-0.0145764,-0.0580277,0.115769,2.87306,0.0192749,-0.220107,0.0458937,0.199174,0.00193524,-0.0463867,0.130402,2.70851,0.012538,-0.228455,0.0602641,0.19681,0.0155299,-0.02009,0.0390855,1.84326,-0.00448535,-0.0485939,0.0666389,0.0806419,0,0.0397085749922541,-0.0518515163357205,0.038083778624787,2.320948757068644,0.0806667997754477,0.0443293873959381,0.007597707077244,0.0610289629192857,0.0434521504635581,-0.0400196610590172,0.0433790854815599,2.2090275689214804,0.0966190636061553,0.0045728045272279,0.0238490189012577,0.0715663191104149,0.0264753486427074,-0.0208568858758471,0.0287816427159685,1.7429974944084277,0.0002373181174213,-0.00186401130532,0.0530333820065361,0.0458095232509302,0.0397085749922541,-0.0518515163357205,0.038083778624787,1.0369738361275234,0.0806667997754477,0.0443293873959381,0.007597707077244,0.0610289629192857,0.0434521504635581,-0.0400196610590172,0.0433790854815599,1.084086105081069,0.0966190636061553,0.0045728045272279,0.0238490189012577,0.0715663191104149,0.0264753486427074,-0.0208568858758471,0.0287816427159685,0.967005998368004,0.0002373181174213,-0.00186401130532,0.0530333820065361,0.0458095232509302
7.139,-0.0116423,-0.0825951,0.105015,2.0264,0.0511406,-0.222197,-0.0143908,0.201542,0.00888473,-0.0768516,0.110683,1.99888,0.0302515,-0.237769,0.00429217,0.198208,0.0232333,-0.0448044,0.0209114,1.13405,0.0315871,-0.0526326,0.00983306,0.073552,0,0.0439051446546453,-0.0720369287331284,0.0241921639380891,1.4769249377873876,0.1401683172858721,0.0403954497354723,-0.0599565603999877,0.0447428449398489,0.0511475859462124,-0.0664751586061662,0.0261401939514658,1.4776611738572307,0.1411189355669623,0.0096669773902831,-0.0357008700446796,0.0652039360038884,0.0352209353080859,-0.0473346707913294,0.0122727274321762,1.032931862311826,0.0412557932922699,0.0065243301232041,-0.0078123874940528,0.0338327203461412,0.0439051446546453,-0.0720369287331284,0.0241921639380891,0.998703180787861,0.1401683172858721,0.0403954497354723,-0.0599565603999877,0.0447428449398489,0.0511475859462124,-0.0664751586061662,0.0261401939514658,1.0818580009141876,0.1411189355669623,0.0096669773902831,-0.0357008700446796,0.0652039360038884,0.0352209353080859,-0.0473346707913294,0.0122727274321762,1.032931862311826,0.0412557932922699,0.0065243301232041,-0.0078123874940528,0.0338327203461412
7.14,-0.0017396,-0.101587,0.094182,1.51131,0.0994311,-0.232534,-0.0686959,0.205194,0.0226379,-0.0983891,0.0933837,1.63158,0.0684506,-0.230489,-0.046184,0.200442,0.0390837,-0.061843,0.00603407,0.772242,0.0898427,-0.0386186,-0.0404323,0.0687001,0,0.0532972484393923,-0.0868939670606603,0.0108926062481425,0.9604325254481988,0.2158517145463643,0.0254743153658379,-0.1196805691608515,0.0332589245138352,0.0658383922733531,-0.0842937271294215,0.0122438850904879,1.079629896747306,0.2024701521381676,0.031108902186634,-0.0887120920372635,0.0596648024547349,0.0516951849044295,-0.0659977098281236,-0.0004459882155441,0.6603460210362256,0.1020449690969575,0.0316710847654214,-0.0628046400488462,0.0234247792378921,0.0532972484393923,-0.0868939670606603,0.0108926062481425,0.9604325254481988,0.2158517145463643,0.0254743153658379,-0.1196805691608515,0.0332589245138352,0.0658383922733531,-0.0842937271294215,0.0122438850904879,1.079629896747306,0.2024701521381676,0.031108902186634,-0.0887120920372635,0.0596648024547349,0.0516951849044295,-0.0659977098281236,-0.0004459882155441,0.6603460210362256,0.1020449690969575,0.0316710847654214,-0.0628046400488462,0.0234247792378921
7.141,0.00983319,-0.119134,0.085467,1.18466,0.162817,-0.229279,-0.109563,0.207016,0.034857,-0.117095,0.0769377,1.37929,0.128267,-0.212337,-0.0958986,0.203484,0.0522379,-0.0764386,-0.0078919,0.548528,0.17386,-0.0175292,-0.090388,0.0669953,0,0.0610675065204429,-0.099549092020307,0.0001399967485825,0.6464805249922254,0.3083702261455104,0.0172051869607423,-0.1651358834642663,0.0256513109390563,0.0774481858999005,-0.0984797845171542,-0.000961690153919,0.8101839932178143,0.2845392324706455,0.0563287929702721,-0.141393111427734,0.0560602994206062,0.0651300791726558,-0.081794568536462,-0.0122545359575128,0.432768986728922,0.1859798796137734,0.0609045780311075,-0.1181098608551071,0.0152783568287796,0.0610675065204429,-0.099549092020307,0.0001399967485825,0.6464805249922254,0.3083702261455104,0.0172051869607423,-0.1651358834642663,0.0256513109390563,0.0774481858999005,-0.0984797845171542,-0.000961690153919,0.8101839932178143,0.2845392324706455,0.0563287929702721,-0.141393111427734,0.0560602994206062,0.0651300791726558,-0.081794568536462,-0.0122545359575128,0.432768986728922,0.1859798796137734,0.0609045780311075,-0.1181098608551071,0.0152783568287796
7.142,0.024869,-0.13809,0.0800452,0.8932,0.232913,-0.210027,-0.0839142,0.210715,0.044524,-0.139573,0.0613133,1.10454,0.199829,-0.205831,-0.089924,0.212066,0.0640962,-0.0957428,-0.0201504,0.308732,0.270487,-0.00654669,-0.0848071,0.0725241,0,0.0712929395303395,-0.1133474222587278,-0.0055304498426231,0.3566901164363074,0.4056830267763646,0.0252958168311896,-0.1413268254324231,0.0256605803680374,0.086842179993115,-0.116086168935013,-0.0128713451871508,0.5103517483592334,0.3748194126987286,0.0677141462372047,-0.1371044579157882,0.0587165660595612,0.0770505707060406,-0.1017327966381468,-0.0223729517313341,0.1827987382638426,0.2808613143664779,0.0765524859955455,-0.1174040249714907,0.0143246986449458,0.0712929395303395,-0.1133474222587278,-0.0055304498426231,0.3566901164363074,0.4056830267763646,0.0252958168311896,-0.1413268254324231,0.0256605803680374,0.086842179993115,-0.116086168935013,-0.0128713451871508,0.5103517483592334,0.3748194126987286,0.0677141462372047,-0.1371044579157882,0.0587165660595612,0.0770505707060406,-0.1017327966381468,-0.0223729517313341,0.1827987382638426,0.2808613143664779,0.0765524859955455,-0.1174040249714907,0.0143246986449458
7.143,0.0349613,-0.144604,0.0760622,0.862449,0.21457,-0.198355,-0.0259463,0.217336,0.0439436,-0.152677,0.0486772,1.10735,0.184994,-0.226947,-0.0493692,0.224538,0.0643777,-0.106281,-0.0294485,0.359881,0.285466,-0.0271362,-0.0440093,0.0845882,0,0.0742524924320669,-0.1140506660979394,-0.0085708553009959,0.332316113602961,0.4158560565596833,0.021671717528081,-0.0816826460279644,0.0357237618166897,0.0843480177597903,-0.1235263395981779,-0.0224849376041866,0.4999481938167132,0.3797390223756219,0.0425315321480506,-0.0962429010004431,0.0676703688400657,0.0769327816794795,-0.1122533092436348,-0.0300861455752577,0.2278906131259984,0.2933502941448667,0.0559265057655752,-0.0807089342923476,0.0200158350253949,0.0742524924320669,-0.1140506660979394,-0.0085708553009959,0.332316113602961,0.4158560565596833,0.021671717528081,-0.0816826460279644,0.0357237618166897,0.0843480177597903,-0.1235263395981779,-0.0224849376041866,0.4999481938167132,0.3797390223756219,0.0425315321480506,-0.0962429010004431,0.0676703688400657,0.0769327816794795,-0.1122533092436348,-0.0300861455752577,0.2278906131259984,0.2933502941448667,0.0559265057655752,-0.0807089342923476,0.0200158350253949
7.144,0.0336094,-0.136767,0.0697848,0.835995,0.124338,-0.203179,0.00410791,0.219258,0.0310614,-0.15127,0.0408788,1.15197,0.101627,-0.252353,-0.0224964,0.229666,0.0533606,-0.102842,-0.0332527,0.462104,0.231716,-0.0508914,-0.017834,0.0910628,0,0.0663133429902077,-0.0998486877668174,-0.0117845805567064,0.3026118486156179,0.3507706925371542,0.0049946329101445,-0.0472483381805921,0.0467008095454906,0.070095341440743,-0.1157456254743409,-0.0272867321640301,0.5311819253234246,0.3137262393777736,0.0103436165677853,-0.067732178311324,0.0710792483230117,0.0655767004290856,-0.1080909616016466,-0.0327142660685084,0.3245332373651517,0.2371981265970952,0.0282358331535801,-0.0570764081392807,0.0211166360813874,0.0663133429902077,-0.0998486877668174,-0.0117845805567064,0.3026118486156179,0.3507706925371542,0.0049946329101445,-0.0472483381805921,0.0467008095454906,0.070095341440743,-0.1157456254743409,-0.0272867321640301,0.5311819253234246,0.3137262393777736,0.0103436165677853,-0.067732178311324,0.0710792483230117,0.0655767004290856,-0.1080909616016466,-0.0327142660685084,0.3245332373651517,0.2371981265970952,0.0282358331535801,-0.0570764081392807,0.0211166360813874
