MNF_mark,MNF_Smoothed_Filtered_right_TA,MNF_Smoothed_Filtered_right_RF,MNF_Smoothed_Filtered_right_VM,MNF_Smoothed_Filtered_right_MG,MNF_Smoothed_Filtered_left_TA,MNF_Smoothed_Filtered_left_RF,MNF_Smoothed_Filtered_left_VM,MNF_Smoothed_Filtered_left_MG
,62.842116453007975,39.16803586291487,38.6795494683986,30.251702395632325,60.05126703707752,55.46074608320157,40.31796758558367,61.50158663487331
,76.63381246884282,40.48914902237736,56.75323681360257,50.550638210275984,54.90249692754616,26.089709629855665,32.85892947684083,63.65663086544781
,70.16635987319428,33.64384643443849,59.44795534668051,46.92481886641906,54.935278839587696,33.91848768458319,35.72364540739731,63.99404357237552
,73.30617768645854,30.34560542873549,55.16457772397094,37.60840164238552,45.56637231269653,38.5362107730815,34.67778890814675,49.61571561544672
,71.74243558214215,41.35593272390801,44.64804526242242,49.60463136187545,39.52239749825272,32.41335620072742,32.88485845856921,52.46532016004099
,78.70632624436905,73.01346110559028,55.32943089960838,52.17983536835242,55.32009205048418,30.457994837144177,37.58473019634496,37.8958440176252
,101.93854724186023,87.79880589397996,50.96237559403062,37.73317659969698,54.06592529958056,39.951581185645466,36.56317329585601,30.861906029838018
,94.6177155423555,70.86009861570015,53.76976154834299,48.82160642419453,48.25866949205241,43.2536632914601,35.94568118701089,28.096355266395527
,50.47675030862528,47.75431651440604,57.75135210486117,52.19870896916009,58.686714983800016,49.98639514303933,47.076081419055406,30.84822439575345
,43.93038604440872,35.876140888659265,45.02163079393765,48.21658460371771,72.28922460009018,43.39363724381729,38.55334476290865,33.75786631960502
,30.6054319826982,28.88490907615849,64.89518686975032,43.25037073187981,73.24332524479796,50.32597109016942,37.33907438243685,34.908547316371106
,34.18644960665908,36.51810534254285,59.06153763774008,37.6106627974257,39.63398751863332,59.56097502501128,45.74816496121058,36.89259124059622
,37.13431448894222,46.591223357960494,46.63874967294288,34.4384454650605,41.46081728689364,74.28599724335753,41.32730194493603,38.6399819664012
,38.22121708747365,37.02048267399445,36.20947867116527,29.084618712137303,54.44638931528426,99.3831211922634,40.7574062280541,51.63322992551375
,48.69649313102933,29.87329275481835,46.549049132644974,35.63880920360511,69.71515657874137,67.84947508436545,35.593132217874555,60.75329594568323
,81.76275407346385,36.21698105857253,46.89820209753598,33.456420581677186,54.33538599221055,50.881237995652505,33.55902265438592,57.14907091313536
,87.3806481717535,38.46796049702573,39.640234430306855,30.16965160356165,49.86911842516838,59.05488536116446,33.69112937903083,51.48822108660405
,69.04877823652915,38.62333714941136,43.62912500420668,30.29221427025376,36.01366313827613,59.12042448323625,36.0221388173267,40.22404670668111
,53.48597380549311,43.13364720909674,44.89658664765783,37.60904676930879,38.95984158392187,53.87910534647384,37.792081600041065,28.932403919063564
,66.32377432141355,48.58412545900044,30.91128024491597,33.95657852312314,42.72203854131936,37.93566106101646,35.248657696517554,28.98289115711281
,55.69531743787468,46.33931544614468,40.84632357544049,34.126158292564995,37.471688530488095,43.819274681594415,35.75043076644093,39.2893685504202
,50.24833965782692,33.74863197753917,46.55100902035263,36.8715562036503,34.71089067728104,39.94053693940104,30.93748002763825,35.15434684473459
,40.33702464274977,33.329884478088275,45.90251885584535,54.74753901145527,48.24574430651133,39.286761443583536,33.250643910113354,28.874535194128885
,33.89158720478013,28.600259349796737,48.51111833130226,33.35578042812102,67.8586528294049,56.65047087550286,32.37370943625123,29.83148132631789
,28.628816557602818,29.9364838375617,40.92951302016316,31.485647417950315,72.51524867654436,52.61142604304244,36.3651467808928,29.028748760707803
,41.072906328070594,33.7220732335541,46.96510225378513,32.815275883862626,59.15839996244912,61.94501343640206,38.35476575328212,27.45625537153512
,35.53798844332859,39.75215077123578,53.14966028213354,30.394361779938595,62.931660558469126,61.23324318464919,37.736272837675045,29.7396668652417
,39.29181993363713,35.49393520713443,39.17146735948307,28.54969874049436,62.35567862750797,56.78890821893656,45.13083933046909,43.97695779359819
,35.5992799041257,30.839236920646908,58.95948239309788,28.87649244005837,47.73102299184672,55.69852606893345,45.05784032125337,38.14910755378719
,68.5788478692047,36.40036223027863,58.72126514909832,28.575475874729165,48.792333757280566,57.4305085359324,30.63857562908367,34.14161284761596
,73.6391894967988,40.81649519282861,36.08277180948878,30.783535723592266,41.42145937606146,30.070872493186748,36.779507790481226,36.99757582822112
,43.46417912250197,33.378713722155695,43.87312906323288,29.144526219074045,38.52728961915128,30.069636606918795,33.601087758504534,32.50681605885285
,44.718715345859,31.928848407461214,42.14275157821468,29.95617627013458,33.544811642830595,28.103147455585116,37.60406968135701,31.31100299115337
,72.05874988893285,37.94920114875732,40.81092880885048,48.29113984472959,33.177410444803776,29.18104756005573,40.2296588940504,29.36400357874929
,62.38011922803562,38.59842297314793,49.93427105358626,50.7625583839144,41.41312695549183,28.92572883422489,42.1339402583398,33.97763790066935
,39.05425221759717,35.87275723391062,37.15265941887775,53.66307500722462,53.35297057106318,48.90238241150675,49.11017989118305,34.9941534811587
,33.772783186569235,33.5918905974068,40.98943688311693,52.73215855909507,67.4981580231933,59.63732746997537,42.3659400414141,38.96236062358156
,39.36912401215218,42.23742108009437,44.95646090188258,31.157597587396,50.97042853466001,58.65568604756391,45.46879679402274,43.1966411703843
,32.01080292853439,36.67710588513874,50.061120485360135,36.09042054799847,41.36770803410473,57.96880393803523,41.137793289034846,42.10431143512837
,32.68680072000548,27.40916924568698,52.15777516897402,37.18848889641792,44.287769408902136,58.25939565658,31.93486122388986,35.96376270332345
,41.530731750137456,31.623864977202444,42.04629499715759,37.07246657105182,32.16068178598858,58.09773238968296,32.58405806291498,43.8862605791452
,50.88569608910685,40.81168943819335,42.751632503504815,37.64100397253299,46.26692424262068,51.99331603784574,29.57014825506472,54.62929073486801
,91.99923695624572,43.8197380626126,42.2121372005738,32.6924139605395,52.353495364752376,54.61101677274856,27.00211469267632,56.671945092916886
,73.12911462836892,39.95574047443056,40.522854603071295,34.66153375827379,40.71796556228214,57.18002192733746,25.11498754669761,51.573555282885614
,65.11230299211063,33.56349769437825,43.92975378033559,35.39355463818989,33.67095094053193,41.84197722915656,33.832926395716704,35.33276641316599
,79.13826027097801,36.25278831642095,62.598016786853705,34.70141539469482,40.34019179392829,29.018088961129266,33.36378683085869,38.15029992536738
,51.40935358796566,34.27295705565037,64.69333115481435,43.48307540292863,54.64478482313362,35.66672051468242,29.18519948410349,50.68203663783987
,34.08226525624262,32.769181609981125,46.03453587068816,40.75632976645821,53.59208714597812,53.75984777409131,29.204130019588604,36.87462847654121
,33.830471883985176,31.07835166529321,45.2156940146977,49.23294597596374,52.025447148017534,40.63223836463019,34.15937457114049,26.258647140358143
,35.461325595666864,30.529244386193948,49.94905941472127,58.08929052957595,57.85772120111319,57.88173107628524,31.866604665607053,23.309739906346334
,30.171305916300213,38.4618836689688,57.73697554416734,45.32290813118902,70.32500393484574,56.88301780420576,32.775645828419364,25.61209830249198
,30.482796332336974,34.946693900254715,42.66461482202924,30.519113382028287,51.8341018100811,54.249266449934936,39.86605139559591,39.87378259671552
,37.091781665961086,32.58125257998477,46.8729547708964,32.81474202742398,55.22922912595251,50.80412477428137,33.70507460883761,42.22125025684134
,56.91271120068696,41.15548723769014,43.21796649559644,35.66423857209556,57.29686176622544,26.17464732148563,34.59787021172021,34.866958599976265
,79.72298510439742,47.16065421084193,42.08723516654892,42.11244864038623,69.16578128606673,31.01892142720132,34.777823919054704,30.578812430368867
,59.33477161526461,50.13680570491031,40.19015511336589,31.782352608736574,52.7599414158091,27.33488222776307,41.223498349482135,32.41358292871721
,66.83844736408906,52.45198750096861,43.49200916560042,32.43028385144971,53.3221292276719,27.66640543038587,39.94115644896014,30.94578261282989
,82.91849594219329,43.74293182292867,56.98952306791952,29.63627490920783,36.2610564740056,55.64520019470069,32.84661099196492,29.475809387872875
,65.67278605800584,44.75532630427353,55.316979277494525,26.825047130626192,38.97213861291237,57.158465230011146,31.65307115492784,27.196566750868534
,79.3599931160087,37.16888930719187,53.09058798036688,29.151720279279655,47.01131504407391,47.749605007260215,35.85504284809719,29.75294626000113
,82.34643585020463,47.92201570663703,54.25883230323216,29.83133316297908,49.58894757804311,44.47063997613584,34.58354861744483,32.73907800566362
,66.89446975643322,40.11339598240585,55.40707837145146,59.25414594954983,61.72265435255261,41.92529943721837,33.138114126280094,32.378632286139656
,54.60861454012885,28.695371355347906,54.83813722415628,58.66762688444615,63.41862908106251,47.24338695948808,43.16061109631003,30.13563253557084
,30.73084666536117,26.90504769245859,23.13477005135147,34.08689971767874,72.65601674131673,46.92856616409565,51.20176661569547,30.92939017881262
,28.57491924028613,35.0138654904214,43.17440818153007,31.184207682657657,62.098175426757024,44.77346662921739,35.58509331954288,36.80270806250739
,27.392855685058397,36.990656065272006,43.77971445272355,31.978799105893977,53.12352039191208,47.33160547898847,25.997811562906648,34.23548535330848
,24.9181996929569,29.72128027047633,48.28508960473572,41.051142558555554,77.09755762981305,37.64834539771211,29.048934722184992,35.76239739139574
,28.68033461648366,25.921435541504174,30.41307167778619,36.496150387471125,83.36341901514272,39.34105463194913,48.902547247066224,35.3681091817928
,34.58716507543652,28.006989805456254,27.94467473389343,29.68351522640085,47.2410469363202,55.4221635747725,41.589207168623815,45.14862492705437
,44.07670286257953,35.202010103553455,57.608494648710405,27.7327129769102,34.43681753558883,50.88614347762518,35.33953746660783,64.18306137831175
,52.210874939284025,33.936027516497646,57.55037437730894,26.895655487945767,43.627521489559214,32.72152786362316,33.757220681247084,55.419805771946045
,72.96904972075671,55.63602455997359,35.94165171801202,26.1537323052082,37.87829572832484,30.74034884742324,28.670653011541123,39.408508712243
,50.48819634024628,35.127712997994095,40.91754255904946,25.12791446292146,27.95030944110957,36.837777722346445,31.913783040444283,39.50671899967698
,48.75006135164686,32.67177430972571,41.26102932685,30.65303471265271,28.324153171418526,36.31312412970668,38.52477482486288,34.17008904083759
,68.3609006328363,41.03482685510699,50.587340511374464,45.29621953943876,33.21189820564737,34.69131651713767,42.12575209544619,33.77642002004817
,62.31588399229147,27.736840235528906,47.51201494150095,52.33416906387514,44.95382084689183,32.174890676541075,45.329737421435766,38.962777010000025
,61.382226052851024,25.52704136178177,45.24748069867535,61.383692113879526,35.61766818729094,33.955018167163466,36.97162614099847,33.671326616467624
,32.122427725935,43.27192811002122,29.38459978902749,56.8502396732124,63.79610784080778,44.06829605243317,39.42935897952828,29.57973975945898
,31.28930246680718,36.16232501192996,46.67015589651611,34.020070537361384,76.75096234228991,51.42160979114568,38.49742180628449,38.84250917680262
,32.56233228555384,31.874584679377826,41.38025225521741,38.83126317004245,49.34309997488834,57.426233695820684,36.7926860435883,38.87265806322678
,32.86772530832671,30.891359742047808,44.10026851809711,40.686808404917485,52.76817744041751,46.55384824535324,36.96664632345835,40.00083411416296
,37.02569064371095,30.46605832054698,31.408337984048096,32.63767174412816,44.564405410067735,50.09557893596197,31.88688226786329,39.13183953919995
,45.42738873421046,34.78436404676259,52.84421164972563,31.327701788482887,62.64822022657533,58.96273953121084,41.49575582742784,50.77116762701128
,46.19773569857656,38.83144860458638,56.51372735842191,30.7562526242979,56.25182250533588,58.51172360064821,39.06062845353373,58.766895944062526
,64.72301727498838,45.04121730036047,41.65460147663853,29.11634747423326,45.92777694840829,59.60905136781755,32.26330230361624,57.24252823714541
,65.99066584894895,42.27078487540668,43.44157829290639,29.911850964258893,28.202196568269912,56.21915735040728,27.43399312470913,37.73291638638294
,65.27063329976549,39.66151555214368,40.50578301078794,36.58094742134469,30.69891853535592,27.63762782665055,30.36484983746061,33.192080752788705
,71.1913982721229,36.54345214049037,41.49433238893101,41.08109692681499,34.86648017274544,34.85794075688466,39.18112370044106,29.77789025057
,83.24049456060729,35.171820720335205,31.026236382139157,39.84291511195677,28.09381488209221,34.70830249841453,34.36523046618475,33.28525777831307
,79.0766124944252,32.28265682564928,45.880896133913446,33.433820738738056,34.33911155979419,39.50762619932769,34.149848548395696,40.77687319531415
,45.4206313450408,36.983255833334255,39.66740752105496,35.61680733040503,49.74284988813997,57.66363218016298,32.04661230782272,34.290886664429856
,28.03638801667015,37.04906688259208,45.3044036864357,44.133019133823225,60.86542511556296,54.76670698369762,39.51793751468325,30.072589508342983
,24.737870231634187,28.51444968176852,41.05114722454957,33.41608859483988,57.67469898538551,40.39016850634543,41.285859445051706,28.8747560864132
,32.29344973813635,40.49840725553963,45.3771107868503,34.00791561003338,68.06805588917315,42.00898304060127,39.362223590254,30.304170175265213
,41.51287584285646,46.38671797372157,42.106444152639575,33.311256750837806,67.11011465721012,46.68184557469631,31.647374111679618,37.49915078791314
,39.859134760223625,36.44321212830997,46.11618036694126,34.57354970425165,43.924624003820206,55.06403564145523,33.620753250658055,33.837362749985914
,42.12522404262543,34.290339970499225,55.51298751346777,40.33333767537582,45.75350191629474,49.62881872852677,34.416499335682225,42.04847856283265
,60.85429958122802,35.97011515922924,52.47968749975192,31.962336609424455,54.65824607306356,45.45597792128465,42.54900562863374,47.722038253089366
,98.04558277088192,39.31749415820253,50.314904962462045,30.88581993555665,31.03916891884775,49.70544187305095,35.94369445306393,45.01202316546895
,86.45071629880077,36.87431028831677,52.102990390871845,29.7381794097395,30.08118711676684,28.139566831181178,38.19793934690885,27.93229699647973
,89.15557445813744,36.64273597110466,59.04018220808283,32.02831333726164,28.98490932665532,25.3386779809825,46.40063881042151,28.401432844659396
,83.25397400480395,32.26607832599993,50.51490749056769,34.34998648976621,27.11893573660555,24.98141356855452,41.202406379023714,30.621307753583963
,58.82090945254789,34.39117026214232,42.67585738349212,38.47998163936238,31.109525714642903,26.36050980349423,31.846934426284022,36.14630734906238
,38.55194316577083,26.496629621099046,56.26215944356609,45.30303199919332,51.36897673505916,23.253752196366783,29.655535992977807,44.63243904881399
,34.491575936796266,24.12515276442128,55.120766269284736,53.46815079180278,63.13984565915417,56.253068588446126,40.00416177003384,41.849027350944326
,31.474801765914208,40.93103350589863,44.43487882598988,32.83873674373275,50.007695447875335,56.39390871095952,34.491596651419336,43.59986137463093
