Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG
0.01,0.0739574,-0.047051,-0.0556446,0.0147381,-0.0492276,0.0168407,0.00991095,0.00638953,0,0.08967106151051576,-0.023329214897747877,-0.021780455510010215,-0.009029016104439217,-0.034811349238855566,0.018445435233563734,-3.309304907647345e-05,0.06508166257929685
0.011,0.178332,-0.0419162,-0.0502411,9.09e-06,-0.0368167,0.0114206,-0.011173,0.00581971,0,0.20027952690792186,-0.023733333224764647,-0.01705038156465532,-0.022609076492405292,-0.020048548019271605,0.012255844102635824,-0.022033191122446567,0.06547653988071142
0.012,0.280887,-0.0298271,-0.0487792,-0.00068363,-0.0236379,0.0272463,-0.015795,0.00743429,0,0.30719481391801884,-0.018765871720318458,-0.015135398827382074,-0.022475538702586242,-0.006112896530778272,0.03168530018468998,-0.025811901874538152,0.06481974115539696
0.013,0.243451,-0.0493864,-0.0492952,0.00718061,-0.0127386,0.0470588,0.00302755,0.00879045,0,0.27852063617670375,-0.04420858312738587,-0.01701756885588554,-0.013826189735146554,0.002413723661950848,0.04935930502554855,-0.008049691224205704,0.05883134193576662
0.014,0.0955622,-0.0676867,-0.0500794,0.0180955,-0.00814536,0.0141528,0.024878,0.010619,0,0.1338862797822412,-0.06952382939607542,-0.017477352209656787,-0.002464849880545253,0.004423423208662609,0.017802780811636734,0.015362946798013598,0.051179969352492694
0.015,-0.0626445,-0.0549614,-0.0482388,0.0209104,-0.00973142,-0.0185561,0.044891,0.0142536,0,-0.0149669417556898,-0.06541235383954834,-0.017280732365813678,0.0005021119098913025,-0.0015904479295526883,-0.018606912481706827,0.03551502669475158,0.043106521859215124
0.016,-0.140502,-0.0382624,-0.0526395,0.0237986,-0.00528939,-0.03309,0.0517979,0.00878231,0,-0.09247579680066528,-0.056951674841584116,-0.021391502078912338,0.0031486326747990857,-0.0006555207805870895,-0.034897677172372285,0.04496772420766845,0.02633921649365634
0.017,-0.125738,-0.0678607,-0.0474855,0.0295523,0.00431008,-0.0367884,0.0622141,-0.00378104,0,-0.06996740957255619,-0.09875036858946358,-0.017777607445440533,0.008183162288102685,0.00587366744409061,-0.04284854252353655,0.057261615722345754,0.0040992215595407125
0.018,-0.0326772,-0.111565,-0.0419217,0.0306265,0.0140183,-0.0176459,0.0365782,-0.0152596,0,0.019491145041736824,-0.15198734710012365,-0.012005901302970835,0.008141701175503877,0.013905161955533677,-0.02801077212024887,0.03462655544617104,-0.014193379073884195
0.019,-0.169103,-0.069939,-0.0360394,0.0326096,0.0166474,0.0273952,-0.0156609,-0.020739,0,-0.11211959138204422,-0.12486124714777311,-0.007353248391092386,0.008490539381654382,0.017257128268972247,0.014102253578677766,-0.014506077466414406,-0.02198266241183118
0.02,-0.375216,-0.0061317,-0.0270878,0.0431406,0.0152747,0.0312952,-0.0379384,-0.0209949,0,-0.32551035742533824,-0.07056331357362622,0.0015338796983544664,0.01709512277820704,0.017536751918595536,0.012777695984235579,-0.034476860183046514,-0.020879606668079725
0.021,-0.295151,0.0741149,-0.0254784,0.0566802,0.00975281,0.055675,-0.0554522,-0.0259508,0,-0.2436361462280947,-0.004136105605813192,0.0022105934834203487,0.028313666102976524,0.016706148521743586,0.037350269296048,-0.04889175398082053,-0.019525939126688218
0.022,-0.117888,0.171362,-0.0316172,0.0521297,0.000700929,0.11802,-0.0701077,-0.0264031,0,-0.07592083078130081,0.08567621780364827,-0.004515111597183893,0.02135223751793727,0.01198809353414642,0.09534247825249803,-0.06310728197501786,-0.01150774630531327
0.023,0.0353492,0.272451,-0.0358662,0.0305966,-0.00989724,0.0977277,-0.061609,-0.0279213,0,0.07714125057455912,0.17691106786657562,-0.00957296934639931,-0.0027487180556271217,0.007834959317632537,0.07904148726837609,-0.0527472950662141,-0.0018077551368677822
0.024,0.238106,0.342601,-0.0306439,0.00239877,-0.0196074,0.0701411,-0.0268392,-0.0345864,0,0.27006385691485635,0.24327509510825926,-0.005632358102254641,-0.03337865679038972,0.0026764619214430206,0.04900410734974509,-0.01992767736411942,0.0017169179862982428
0.025,0.339296,0.351379,-0.0229628,-0.011463,-0.0284642,0.0187751,-0.0143594,-0.0378237,0,0.37037775644146753,0.2481152426341456,0.0011670200360440657,-0.04957880360375107,-0.001444354220443072,0.004447478511459262,-0.007369093896261499,0.007747866738179397
0.026,0.223755,0.348905,-0.016763,0.00911189,-0.0265779,-0.0243023,-0.0360739,-0.0359413,0,0.2460701814844239,0.24558830751022084,0.005434391911170905,-0.031030202814810007,0.002305554282415096,-0.03937685792114758,-0.032951479721488056,0.014652418673272825
0.027,-0.0513818,0.350115,-0.0125946,0.0322532,-0.0111939,-0.0223082,-0.0360371,-0.0317769,0,-0.030208180759202695,0.24840852040711658,0.008555553260480037,-0.009631865417115132,0.017850953082271012,-0.030071367116696515,-0.03422964641402956,0.019738299388347848
0.028,-0.162651,0.273622,-0.0130405,0.0396806,0.00506526,-0.0232905,0.0167595,-0.0228373,0,-0.1493833244820653,0.17404938158615219,0.005826220391386567,-0.0035498154034424804,0.031596398754397785,-0.03119382808469888,0.014060961720458365,0.02391078801207938
0.029,-0.132417,0.180352,-0.0110758,0.0412823,0.00422065,-0.0565811,0.0578721,-0.014103,0,-0.12130790751182619,0.085492350768008,0.0066222428427828925,-0.0029355613885795584,0.025653482242569355,-0.05923865853874817,0.05353411630997156,0.022769654127526903
0.03,-0.139891,0.16265,-0.00350272,0.0335842,-0.0127721,-0.0437204,0.0609144,-0.00490665,0,-0.1373378593273707,0.06980069717463774,0.01202960434527792,-0.011248016000958268,0.0022942542799868175,-0.04707742699742773,0.0529586398819982,0.0176845443842504
0.031,-0.171248,0.141443,0.00175773,0.0221775,-0.0371475,0.0109332,0.0516547,0.00248617,0,-0.17302737174645705,0.05316581278428906,0.016132408883656864,-0.02295062673868312,-0.03049689951016658,0.0091353204186604,0.04287588068333873,0.007349023489184735
0.032,-0.113756,0.110979,0.002853,0.0126235,-0.0343643,0.030268,0.049572,0.00401132,0,-0.126588764737062,0.02293849400336699,0.01564343083975094,-0.0325000970985026,-0.03543126817340312,0.026794618250359017,0.03907729979858884,-0.00972424598801918
0.033,-0.0361393,0.0841018,0.00389581,0.00615874,-0.00110841,0.00553327,0.0373813,0.0096786,0,-0.056198824281048866,-0.0019202371122618994,0.01566877066373406,-0.03872685132777143,-0.01025027656714755,2.3897091032780426e-05,0.027425231258927457,-0.022725166663846857
0.034,-0.0530758,0.0569773,0.00701134,0.00524041,0.0134827,-0.0102023,0.0300362,0.0174482,0,-0.08784680576277916,-0.03048869340882071,0.01803609341543181,-0.03911550582772474,-0.0015601853859056177,-0.017719666586479634,0.02029891327722462,-0.030404057736964155
0.035,-0.0804721,0.0674032,0.0019676,0.00839556,0.00690197,-0.00245811,0.0382563,0.0227079,0,-0.1250139279201944,-0.02116753083847222,0.01216950032000437,-0.035250867527300916,-0.012319442197138156,-0.013928766103930344,0.03010478232907113,-0.03745203475402586
0.036,-0.0705677,0.0838576,-0.000850545,0.00581689,-0.00227937,0.00490442,0.0406756,0.0222122,0,-0.13326960819957115,-0.0058792635480266605,0.009352155776497485,-0.036682157278014826,-0.02350346087576402,-0.007582456078181322,0.03379437652323569,-0.04444709858315459
0.037,-0.0349564,0.0798248,-0.000306719,-0.0023939,0.0218038,0.00549569,0.0274353,0.0181742,0,-0.10855202820309788,-0.012862512342737331,0.00925293794181759,-0.04355796769811452,0.0018932775802171756,-0.010427233587323052,0.022229811649763575,-0.05058560742668404
0.038,0.102565,0.0432684,-0.000410459,-0.00972157,0.0842556,-0.00613142,0.0178107,0.0189087,0,0.008995347604827134,-0.04743401822028018,0.009473403101257407,-0.04880402316764895,0.06603596175692335,-0.020885150433222224,0.013656078005025534,-0.04637249572952811
0.039,0.177186,-0.00613558,0.00318235,-0.0141001,0.128188,-0.0210998,0.0135041,0.0230369,0,0.07359845183645093,-0.09949410046510893,0.012597290261746667,-0.050871449483238615,0.11559668042220503,-0.03677427020983655,0.010069086953762126,-0.03575690203954293
