Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark
0.061,0.00921675,-0.0311184,-0.264746,0.255348,-0.213356,-0.0351168,0.0361732,0.211542,
0.062,0.00503421,-0.0530825,-0.189317,0.228648,-0.126797,-0.0737946,0.0413893,0.217854,
0.063,-0.0208772,-0.0612223,-0.100313,0.203857,-0.0412819,-0.0946275,0.0372633,0.235777,
0.064,-0.0340958,-0.0857415,-0.0931092,0.177317,-0.0523065,-0.106253,0.0293554,0.26488,
0.065,-0.0376634,-0.0568704,-0.0770178,0.145189,-0.0833264,-0.117617,0.0196577,0.296901,
0.066,-0.0449092,-0.0106081,-0.0845028,0.107765,-0.0745743,-0.112336,0.0226592,0.32609,
0.067,-0.0481552,-0.00930743,-0.0986922,0.0681885,-0.0585051,-0.0863538,0.0238061,0.341136,
0.068,-0.0493207,-0.0482206,-0.0341367,0.0249441,-0.291994,-0.0717897,0.0155378,0.349416,
0.069,-0.0663744,-0.100926,-0.0212503,-0.0104754,-0.439396,-0.0693003,-0.0107033,0.352378,
0.07,-0.0891448,-0.0665782,-0.114568,-0.000592148,-0.280921,-0.0602185,-0.0479594,0.369736,
0.071,-0.0875623,0.0119876,-0.20427,0.0553121,-0.249825,-0.0292274,-0.0780795,0.409137,
0.072,-0.0649741,0.300103,-0.236108,0.115647,-0.214579,-0.0150472,-0.0769795,0.459954,
0.073,-0.056335,0.326877,-0.247442,0.163644,-0.0151453,-0.0431068,-0.0383464,0.513634,
0.074,-0.0668502,0.117477,-0.2012,0.189904,0.0470495,-0.0931451,0.00679225,0.586136,
0.075,-0.0696564,0.0385941,-0.129713,0.201395,0.0591941,-0.114189,0.0224158,0.678277,
0.076,-0.060807,0.269059,-0.0582518,0.197152,0.106764,-0.131296,0.0167104,0.728918,
0.077,-0.0632168,0.717906,0.00769249,0.150977,0.100846,-0.188048,0.00258221,0.51781,
0.078,-0.0611077,0.584893,0.193773,0.0824766,0.097067,-0.213228,0.00469065,0.121063,
0.079,-0.0586378,0.317744,0.46122,0.0236334,-0.00897741,-0.188259,0.00446698,-0.324589,
0.08,-0.0622221,0.158239,0.776544,-0.0150642,-0.0512794,-0.16204,0.023483,-0.797122,
0.081,-0.0773399,-0.0347548,1.17061,-0.0488308,0.0489034,-0.115087,0.054643,-1.2864,
0.082,-0.0958546,-0.288263,1.62456,-0.0610529,0.160478,-0.0230128,0.0669267,-1.72318,
0.083,-0.108589,-0.507377,2.06836,-0.0496429,0.222083,0.0476379,0.05006,-2.01835,
0.084,-0.116192,-0.661553,2.3552,-0.0243439,0.222348,0.103453,0.025199,-2.1728,
0.085,-0.102252,-0.785209,2.44199,0.00986002,0.162635,0.125425,-0.00776757,-2.22316,
0.086,-0.060617,-0.890526,2.47897,0.0507141,0.150932,0.123677,-0.0247637,-2.204,
0.087,-0.0329976,-0.981027,2.44648,0.0933703,0.152341,0.113512,-0.00872367,-2.14643,
0.088,-0.0297142,-1.01735,2.38701,0.130086,0.111171,0.15212,0.0136706,-2.07263,
0.089,-0.0176502,-0.994358,2.38488,0.158475,0.0747581,0.196244,0.0193719,-1.98769,
0.09,0.00614976,-0.95208,2.37832,0.182923,0.112906,0.234752,0.0170038,-1.88973,
0.091,0.0434097,-0.927306,2.28863,0.209362,0.195122,0.282189,-0.00931759,-1.7794,
0.092,0.101157,-0.95017,2.04167,0.242875,0.229546,0.255346,-0.0305492,-1.66163,
0.093,0.154081,-0.954813,1.73296,0.275729,0.229533,0.134896,-0.0465021,-1.54077,
0.094,0.182518,-0.805295,1.55807,0.300547,0.255774,0.0516847,-0.0513868,-1.4107,
0.095,0.197364,-0.691217,1.23381,0.318112,0.28806,0.0147287,-0.0530618,-1.26555,
0.096,0.200327,-0.670814,0.794568,0.322787,0.27987,-0.0507877,-0.0469899,-1.10396,
0.097,0.185891,-0.630505,0.300835,0.30911,0.216972,-0.058153,-0.0392492,-0.9278,
0.098,0.162926,-0.598005,-0.159208,0.276796,0.231424,0.0186697,-0.0244643,-0.727496,
0.099,0.149067,-0.55817,-0.557216,0.218671,0.277634,0.0908389,-0.0136608,-0.500746,
0.1,0.157312,-0.512184,-0.90248,0.133054,0.324527,0.151254,-0.00638335,-0.239471,
0.101,0.182368,-0.473186,-1.18707,0.0336382,0.381443,0.189633,0.0020397,0.0572387,
0.102,0.208896,-0.468735,-1.40247,-0.0811002,0.404602,0.219249,0.00144649,0.385532,
0.103,0.204526,-0.380585,-1.49439,-0.158454,0.391992,0.243821,-0.0026657,0.626229,
0.104,0.18698,-0.332183,-1.45608,-0.166063,0.217494,0.225496,0.0185602,0.567509,
