Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark
0.059,-0.168634,-0.125256,-0.15223,-0.124386,-0.00326787,-0.0312128,-0.0126313,-0.0265696,
0.06,-0.154756,-0.0871842,-0.185491,-0.137531,0.0845863,-0.0179889,-0.0442022,-0.0259248,
0.061,-0.12286,-0.0673764,-0.193348,-0.153818,0.0428011,-0.0669246,-0.0272386,-0.0245011,
0.062,-0.0926801,-0.0648647,-0.210381,-0.164129,-0.0458647,-0.0967144,-0.0189052,-0.0202865,
0.063,-0.0571267,-0.0474919,-0.240797,-0.163487,-0.0118938,-0.101221,-0.0471261,-0.0179491,
0.064,-0.0299845,0.011608,-0.246293,-0.163287,0.024019,-0.0952107,-0.0520322,-0.0172444,
0.065,-0.00889633,0.0841981,-0.223127,-0.164134,0.00744415,-0.0936264,-0.0155415,-0.0136971,
0.066,0.0160086,0.193976,-0.194543,-0.165118,0.0308051,-0.105054,0.0329263,-0.00631024,
0.067,0.0312342,0.203732,-0.179207,-0.163333,0.113875,-0.141025,0.0969454,-0.00134526,
0.068,0.0266406,0.220692,-0.176796,-0.15771,0.178209,-0.162371,0.107892,0.000781659,
0.069,0.00713571,0.182721,-0.141575,-0.153034,0.191072,-0.156706,0.0616375,0.00398682,
0.07,-0.0285914,0.0849497,-0.144251,-0.150586,0.139584,-0.122812,0.000486798,0.00313265,
0.071,-0.050344,-0.0231282,-0.142682,-0.144364,-0.0115847,-0.0875209,-0.0247976,-0.00262984,
0.072,-0.0414296,-0.257459,-0.151606,-0.135608,-0.16727,-0.098074,-0.0423366,-0.00477759,
0.073,0.000229225,-0.494312,-0.147497,-0.12541,-0.132024,-0.123199,-0.0664986,-0.00662464,
0.074,0.0399833,-0.536291,-0.137117,-0.116142,-0.019677,-0.118827,-0.0500924,-0.00323526,
0.075,0.0536563,-0.446667,-0.121391,-0.102759,0.0504501,-0.0883295,-0.0179887,-0.00315567,
0.076,0.0475595,-0.286789,-0.115334,-0.0887438,0.00705577,-0.0525591,-0.007355,-0.00734473,
0.077,0.0393483,-0.128597,-0.0921321,-0.0764006,-0.0742676,-0.0366246,0.0038163,-0.00879706,
0.078,0.0400054,0.000609819,-0.0656714,-0.0648682,-0.0600139,-0.0152336,0.0245599,-0.00858452,
0.079,0.0553744,0.0909809,-0.042993,-0.0541092,-0.0407367,0.00856065,0.0569036,-0.00977061,
0.08,0.0570594,0.143556,-0.0308515,-0.0440876,-0.0562516,0.00091197,0.0968184,-0.0114401,
0.081,0.0185835,0.171578,-0.0300142,-0.0312263,-0.0810487,-0.0372909,0.1032,-0.0156336,
0.082,0.0273124,0.206509,-0.0346697,-0.0188476,-0.0555022,-0.0639278,0.0756402,-0.0170013,
0.083,0.0631734,0.259797,-0.0425935,-0.00839642,0.0160489,-0.0782187,0.0488034,-0.0137916,
0.084,0.0604437,0.275948,-0.0362566,0.00385525,0.0394752,-0.0824279,0.0150101,-0.0144546,
0.085,0.0740654,0.271942,0.0305,0.0168514,0.0488525,-0.0828434,-0.0103253,-0.0156101,
0.086,0.0938449,0.246982,0.0679546,0.0247072,0.0509904,-0.076414,-0.0316941,-0.0136326,
0.087,0.0627623,0.202707,0.0734389,0.0316098,-0.0069862,-0.0648224,-0.0480398,-0.00967656,
0.088,0.0171519,0.171885,0.0973499,0.0376288,-0.0184832,-0.062319,-0.0492792,-0.00404661,
0.089,0.00617849,0.137291,0.0880157,0.0449557,0.0937793,-0.0860676,-0.036773,0.00297866,
