MAV_mark,MAV_Smoothed_Filtered_right_TA,MAV_Smoothed_Filtered_right_RF,MAV_Smoothed_Filtered_right_VM,MAV_Smoothed_Filtered_right_MG,MAV_Smoothed_Filtered_left_TA,MAV_Smoothed_Filtered_left_RF,MAV_Smoothed_Filtered_left_VM,MAV_Smoothed_Filtered_left_MG,WL_mark,WL_Smoothed_Filtered_right_TA,WL_Smoothed_Filtered_right_RF,WL_Smoothed_Filtered_right_VM,WL_Smoothed_Filtered_right_MG,WL_Smoothed_Filtered_left_TA,WL_Smoothed_Filtered_left_RF,WL_Smoothed_Filtered_left_VM,WL_Smoothed_Filtered_left_MG,SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0.0,0.0433478846014834,0.0462662098082119,0.0974483322964061,0.094949216353706,0.0959393350699022,0.0965467557916806,0.1518420409356588,0.1240990261263696,0.0,6.700397892552703,3.992410928890572,2.3963404846029963,2.1841761922310825,1.812424570398931,5.196385343460958,2.436642446815598,1.5457536523437354,0,72,51,38,33,45,42,30,41
0.0,0.0271103296534753,0.0300539805359635,0.0312109077491602,0.107477834496848,0.0839800953155166,0.0367704339221491,0.0485529945239491,0.1014747835101527,0.0,5.029777659672812,2.74739719608158,0.992255000970961,3.870090727188444,1.9353202278286024,2.394452697032647,0.9107089550401282,1.2347485818391368,0,71,49,40,53,49,40,38,42
0.0,0.0416521275816464,0.0280886462084913,0.0269283603875642,0.1623710526101339,0.0958991737940108,0.0302115323686147,0.0348000359369203,0.0398145725690137,0.0,6.641844368417626,2.580578597461563,0.8546591480051122,6.8973739589907925,3.033888057672317,2.3385926188131947,0.951743393739786,0.4769796988177114,0,71,39,36,66,62,40,49,44
0.0,0.0517780091335345,0.031965541497623,0.0601941790849337,0.1587035603442744,0.1065807359095409,0.085267880175674,0.052688118486438,0.0269780287657125,0.0,7.050549901083771,2.7485756907201626,1.7097885317632098,6.7661608242642215,4.026994815750206,4.137758669179611,1.5715552089256808,0.4992524152691711,0,66,46,40,62,75,43,52,59
0.0,0.076272318352924,0.0638597432815983,0.1411101866253786,0.1397100598742358,0.0992535752214866,0.1604597809176766,0.0562673449030058,0.0411371409067261,0.0,9.218166283159851,5.860273180157872,3.92014336446182,5.356919206363802,3.6472635045409927,9.300598975175458,1.6959791225651253,0.8299934493821273,0,63,47,44,49,65,46,53,58
0.0,0.1042767175748209,0.0721328622303312,0.1672869316845203,0.0560801019030196,0.0839072021953832,0.1859335848862566,0.0562529319862446,0.0676244744448131,0.0,9.640059902395032,6.31758224601899,5.146240147621853,1.2874938088873726,2.813178178861189,10.331624340106355,1.541708553105312,1.536746679459076,0,60,51,45,36,50,50,49,58
0.0,0.120733091239967,0.0801172928755013,0.2290483393135175,0.06843093534403,0.0493067238031208,0.1756121262785619,0.146980798618508,0.1347452378692959,0.0,13.249317928617062,7.280014744745172,6.445980447055642,1.7817296826986937,1.0209894762979712,9.920967140128596,2.771453811428156,2.6996518891717978,0,64,54,37,44,38,47,50,44
0.0,0.1388268090017393,0.0625852174428776,0.2251802906122733,0.1582884490406229,0.1900316784332264,0.1485305889006136,0.3462139050880385,0.462776691114495,0.0,14.18123435213832,5.267094627799773,5.548393147636587,5.039546462844785,3.342857410622756,8.601718027365358,6.316870247083539,6.059354020081533,0,67,51,41,53,34,44,56,46
0.0,0.145684529994427,0.0721165367256419,0.3260273723821988,0.2673593244943209,0.4678898057577191,0.1761682453795666,0.5313767396788133,0.7714592035889989,0.0,15.247487361895756,6.854579818949665,7.832611877451048,9.362626813289928,8.607719925104847,10.112789869127443,12.057197795636732,13.5665930452771,0,62,53,32,64,34,40,59,52
0.0,0.1509751931865909,0.1149359240003322,0.4120425332368574,0.4307107445847224,0.7004517634753821,0.1932520588739899,0.6812141818098055,0.8183832676872969,0.0,17.286395808642048,9.29535617947177,10.822029839131872,14.138047872852969,12.013727256510483,10.248367405066212,15.120389687969087,15.438473472650935,0,63,52,39,66,34,37,59,63
0.0,0.1329473331995214,0.1441293468826806,0.4040265607575484,0.5155356242455278,0.6768864984551114,0.2107438781413635,0.518700632357998,0.6129248004478712,0.0,17.787921693321223,11.57038847063192,11.808924150490128,14.580277678229116,11.787132304418083,12.893834706603911,12.135994731638243,13.243965983467398,0,62,47,47,59,38,51,53,67
0.0,0.0977745929240115,0.1413418717027669,0.345089738013413,0.4421084430047962,0.4595097831866487,0.1926103109100122,0.4140091068700216,0.3350418684625305,0.0,14.114453801892475,11.010918532843036,10.888349053296915,10.498478243379374,8.126190227641128,10.899237392631177,8.167287494848049,7.8466943558405235,0,63,45,54,49,43,54,40,61
0.0,0.0498049851972976,0.1067446907619238,0.22503634960573,0.3184317728425156,0.2109938947579227,0.1757294449914956,0.2171079359872831,0.3425563934270935,0.0,8.269587023501982,8.975804309596967,7.209688558790559,6.102075084202132,4.849240466485926,10.743646438144506,4.352761801481631,4.972373213367375,0,67,51,50,48,47,57,35,55
0.0,0.0285835242933291,0.0728603506044974,0.1742493250114416,0.1393941317638211,0.1482235437203594,0.1413722510246384,0.1334412842426941,0.3597885419592848,0.0,3.21104526814719,5.519866152871208,4.911222590353455,3.204765766379764,3.464234827653592,8.027063892183428,2.484850691377755,4.385758229269183,0,58,46,40,44,43,57,30,46
0.0,0.0354287472641889,0.0873821199534615,0.100413310749878,0.1498210915600493,0.3917353476134947,0.0813733138960208,0.0641864593948575,0.2978614061775696,0.0,4.907957380207369,5.367812402281731,2.050496315925098,5.137935131987314,6.826211760606942,4.103177098078745,1.527240972642573,3.6297912849496585,0,61,43,32,53,38,46,41,47
0.0,0.043084263799762,0.0771150865957829,0.043062630055797,0.2497559805219641,0.4262545581536631,0.0432274157569387,0.0475689064876652,0.1692130081410366,0.0,6.472715930887452,4.510980380014612,0.9465318180539132,8.053794508110926,7.349083909930266,2.084551247105626,1.1133603796841938,2.056268372498752,0,70,36,35,62,34,50,50,41
0.0,0.050523720174533,0.0850427628310853,0.0500494871949885,0.2534901577020853,0.4228464589477941,0.0417330653680884,0.0522512032917167,0.0539671867446346,0.0,6.981618611012562,5.544472015087388,1.6615161669864984,8.493226959957257,8.487501259380688,2.377112974145269,1.508972631658121,0.7511616860771332,0,71,42,39,71,49,54,62,46
0.0,0.0496932738406532,0.0621317833164845,0.0672087305721078,0.2734673543723236,0.2085829237708721,0.1136434271274287,0.0675598490087234,0.0422143045467111,0.0,6.923326429931672,4.42441993997773,2.414501065816305,8.360235588736172,5.383975149392024,5.242955709799896,1.9724138194114067,0.7261294770182782,0,71,38,42,61,53,48,67,54
0.0,0.0687738199083948,0.0594827334614283,0.0984141220134722,0.1922604327022438,0.1109297031645802,0.1403886076831924,0.0719541879482743,0.0486320709483803,0.0,8.146795092387853,4.511816331160868,3.299296349973368,5.329519867178234,3.927049744738064,6.193084308288683,2.0874402781156896,1.055927444773705,0,64,41,40,50,62,42,64,57
0.0,0.074098891088422,0.0668872457664389,0.0905439790337806,0.1564129408567049,0.0779463169007449,0.1334458195463853,0.0787164618585008,0.0681299036924864,0.0,10.154059995636295,5.244082466258044,3.0105238548569435,4.149321967655393,2.072317856186475,5.822402468259247,2.0105365232083767,1.3346917510397052,0,59,41,36,48,47,38,52,71
0.0,0.0746672766094561,0.0535931094175386,0.0790724756343631,0.2668772680936893,0.0642249650067648,0.0956693343068394,0.1125258309588816,0.1544523281777161,0.0,11.1921291527801,4.947403045615404,2.66846226723362,6.188487558578897,1.5299618691403514,3.454305663846698,2.74194523987792,2.788522086639297,0,68,54,35,45,40,35,42,65
0.0,0.0772659908336254,0.0659823368201078,0.0709337545189465,0.3772702296656824,0.263829507470909,0.0591324332293217,0.3092258202644285,0.559456017181063,0.0,11.73729966785202,5.732827288151411,2.515794312732856,8.703313367429017,3.8816450533170497,3.038248962750598,8.265676254088135,8.526058690023975,0,63,59,31,51,33,32,35,63
0.0,0.0728351000276191,0.0738888332650907,0.1700051980959402,0.608882192637056,0.4988248351964721,0.0781985443775597,0.4212434257727895,0.8475985230809309,0.0,11.645752367003135,6.753725290910638,5.36754815359491,13.021437916146368,9.203047122045488,4.209853727074139,11.978629638647307,12.341959247281398,0,68,70,34,50,38,33,41,59
0.0,0.0995491373516037,0.0870905640808934,0.2628278759495401,0.7897668523575374,0.5511641547695987,0.1045272378993285,0.4738980159485922,0.94891817621197,0.0,15.911646042451844,6.715484059619264,8.883529279026147,15.424311249424273,10.588769776912091,5.939333475433884,13.75517785460356,13.78000454651598,0,62,72,36,40,47,39,49,57
0.0,0.0903199378239746,0.0913602971021819,0.2922440553398171,0.7000088129214396,0.5871156431376554,0.1186694729489299,0.3635265550028142,0.7464855773564377,0.0,13.785376474073573,7.985624456354123,10.76472654712469,13.020080257101409,12.177398351970858,8.96533986079111,11.32330741356116,9.137629258747346,0,59,68,44,45,59,55,47,66
0.0,0.0753191807564323,0.075701837909543,0.3762618593155502,0.57107925736902,0.2852398729891553,0.1414329018522727,0.2451381066607999,0.4635614576026473,0.0,11.745312645882828,6.736264272046691,13.048861882514966,11.833200594154889,7.246928363503185,11.514061287941402,7.143778644964564,7.705100228791334,0,58,61,49,54,64,62,49,73
0.0,0.0468658133585838,0.0444575850151347,0.3950865641028031,0.3602115760555003,0.2563978863229007,0.147327326447191,0.2898782398828591,0.5791226150749166,0.0,6.454215360113209,4.731375289857057,12.995586466559862,9.12081454535164,7.287711841023151,12.94018700867299,8.44289590495456,10.842203476750868,0,51,51,49,60,66,64,44,69
0.0,0.0210002364273229,0.0317799154358999,0.3680617312496376,0.2370405077366456,0.1664094241780596,0.1129809245225002,0.1979235645571545,0.7415408609474006,0.0,2.498759583240548,2.861421748074608,11.261427936030962,8.717208220623512,4.766172797008897,9.28910830069342,5.769855047004223,12.867541944958209,0,59,44,45,66,52,52,42,53
0.0,0.0256766562709186,0.031705547772946,0.2591117936585527,0.2505149537232846,0.170422842117457,0.091508430522976,0.1579578764512475,0.6529609387850385,0.0,4.337826532481387,2.1098538807191183,7.766474635478327,9.69829438075922,4.3599284086020536,6.822199169491197,4.365520334302467,10.83294507707704,0,71,32,36,67,51,44,40,41
0.0,0.0334492649614897,0.0334906148577744,0.1134819593846403,0.2083557230449107,0.1776548367852268,0.0502035475374519,0.0552951394352235,0.4938825314208267,0.0,5.598800500930139,2.1136496613481186,3.2702208040511778,8.008670743573653,4.207672739663512,3.023469413727799,1.103866325778007,7.626615902759394,0,79,34,31,78,47,45,48,31
0.0,0.0553744203484564,0.0521943921071514,0.0466561357703866,0.1786895903434804,0.1576232813214546,0.061477919149836,0.0568556946110237,0.1774630634239234,0.0,7.145519489124057,4.431663610576374,1.915415531530899,6.270926461012488,4.91715009755863,3.667363090909968,1.638773767509477,2.47382696690764,0,69,36,35,71,66,51,59,30
0.0,0.0604155066155795,0.0582367833879965,0.0691836104439789,0.128865412737335,0.1303923179095641,0.118814682537106,0.0783567225693449,0.0849431188209315,0.0,7.182711442480661,4.9423642423302425,2.439473915619227,3.9836117776938256,4.7517896886290245,6.240170873805637,2.373663345843877,1.6825471187895615,0,63,42,42,55,74,50,59,32
