Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,Comp Ch 1,Comp Ch 2,Comp Ch 3,Comp Ch 4,Comp Ch 5,Comp Ch 6,Comp Ch 7,Comp Ch 8,Comp Ch 9,Comp Ch 10,Comp Ch 11,Comp Ch 12,Comp Ch 13,Comp Ch 14,Comp Ch 15,Comp Ch 16,mark,Filtered_right_TA,Filtered_right_RF,Filtered_right_VM,Filtered_right_MG,Filtered_left_TA,Filtered_left_RF,Filtered_left_VM,Filtered_left_MG,Filtered_Comp Ch 1,Filtered_Comp Ch 2,Filtered_Comp Ch 3,Filtered_Comp Ch 4,Filtered_Comp Ch 5,Filtered_Comp Ch 6,Filtered_Comp Ch 7,Filtered_Comp Ch 8,Filtered_Comp Ch 9,Filtered_Comp Ch 10,Filtered_Comp Ch 11,Filtered_Comp Ch 12,Filtered_Comp Ch 13,Filtered_Comp Ch 14,Filtered_Comp Ch 15,Filtered_Comp Ch 16,Smoothed_Filtered_right_TA,Smoothed_Filtered_right_RF,Smoothed_Filtered_right_VM,Smoothed_Filtered_right_MG,Smoothed_Filtered_left_TA,Smoothed_Filtered_left_RF,Smoothed_Filtered_left_VM,Smoothed_Filtered_left_MG,Smoothed_Filtered_Comp Ch 1,Smoothed_Filtered_Comp Ch 2,Smoothed_Filtered_Comp Ch 3,Smoothed_Filtered_Comp Ch 4,Smoothed_Filtered_Comp Ch 5,Smoothed_Filtered_Comp Ch 6,Smoothed_Filtered_Comp Ch 7,Smoothed_Filtered_Comp Ch 8,Smoothed_Filtered_Comp Ch 9,Smoothed_Filtered_Comp Ch 10,Smoothed_Filtered_Comp Ch 11,Smoothed_Filtered_Comp Ch 12,Smoothed_Filtered_Comp Ch 13,Smoothed_Filtered_Comp Ch 14,Smoothed_Filtered_Comp Ch 15,Smoothed_Filtered_Comp Ch 16
0.373,-0.0318026,-0.0436591,-0.213419,0.024665,-0.0265111,0.00258765,-0.103976,-0.00590472,-0.0263279,-0.0572031,-0.211134,0.0352305,-0.0268485,-0.00172791,-0.0972634,-0.00607186,-0.0130766,-0.0324057,-0.0678135,-0.000798901,-0.00201106,-0.0172666,-0.0751698,0.00543194,F1,-0.0233840430736221,-0.0261980583017586,-0.0697113031887068,-0.0076656659952487,-0.0081194762035471,-0.0220560920075273,-0.075557749420708,-0.0940498803725211,-0.0253282051596444,-0.0238505375382383,-0.0700088720025868,-0.0077928330633701,-0.0143487008808157,-0.0255301612205695,-0.0778500163114332,-0.0234607020779705,-0.0096435894736673,-0.0204830190224029,-0.0506732052610046,0.0042058374039841,-0.00783040869927,-0.0190740778038167,-0.0704085413354272,-0.0329982758301662,-0.0233840430736221,-0.0261980583017586,-0.0697113031887068,-0.0076656659952487,-0.0081194762035471,-0.0220560920075273,-0.075557749420708,-0.0940498803725211,-0.0253282051596444,-0.0238505375382383,-0.0700088720025868,-0.0077928330633701,-0.0143487008808157,-0.0255301612205695,-0.0778500163114332,-0.0234607020779705,-0.0096435894736673,-0.0204830190224029,-0.0506732052610046,0.0042058374039841,-0.00783040869927,-0.0190740778038167,-0.0704085413354272,-0.0329982758301662
0.374,-0.0259052,-0.0459204,-0.225257,0.0259439,0.0390738,0.0242324,-0.0741753,-0.00690333,-0.0250886,-0.0667096,-0.223094,0.0369199,0.0370806,0.0192282,-0.0681788,-0.00782853,-0.0141246,-0.0412103,-0.0672424,0.000322379,0.0677372,0.000930462,-0.0447037,0.00168059,0,-0.018699708053588,-0.0333759468228477,-0.0720851355409584,-0.0054698976964875,0.0623883194592796,-0.0064128494210079,-0.0489442437163465,-0.112757872003341,-0.0259466999097193,-0.0274112272025663,-0.0713933823648165,-0.0044263473666899,0.0565038671906057,-0.0074914025871209,-0.0487548281338826,-0.0326885493892219,-0.0111760332662653,-0.0235055227390209,-0.0499452796629745,0.0073797274234494,0.0636827972748344,-0.0021754552928546,-0.0395272204025007,-0.042472290133381,-0.018699708053588,-0.0333759468228477,-0.0720851355409584,-0.0054698976964875,0.0623883194592796,-0.0064128494210079,-0.0489442437163465,-0.112757872003341,-0.0259466999097193,-0.0274112272025663,-0.0713933823648165,-0.0044263473666899,0.0565038671906057,-0.0074914025871209,-0.0487548281338826,-0.0326885493892219,-0.0111760332662653,-0.0235055227390209,-0.0499452796629745,0.0073797274234494,0.0636827972748344,-0.0021754552928546,-0.0395272204025007,-0.042472290133381
0.375,-0.0147286,-0.0410509,-0.231005,0.0269948,0.165982,0.0285425,-0.0365636,-0.00114893,-0.0164614,-0.0657388,-0.230112,0.0330897,0.157639,0.0221186,-0.0325709,-0.00300186,-0.00914646,-0.0408614,-0.0634128,-0.00233335,0.187217,0.00376131,-0.00734856,0.00380099,0,-0.0106063069019779,-0.0328134653742962,-0.0704290661900662,-0.002951547017931,0.1882466279133458,-0.0049230894808421,-0.0145073854254219,-0.1072127701724164,-0.0198842417808033,-0.0236835698569837,-0.0695337761530125,-0.0047599970369169,0.1784247000461385,-0.0048724244660227,-0.012249887253973,-0.029066341167854,-0.0065659574129368,-0.0193904499197629,-0.0462100124080356,0.0068875758719029,0.1855265501601853,0.0001684100790448,-0.0016165761218474,-0.0391048057272517,-0.0106063069019779,-0.0328134653742962,-0.0704290661900662,-0.002951547017931,0.1882466279133458,-0.0049230894808421,-0.0145073854254219,-0.1072127701724164,-0.0198842417808033,-0.0236835698569837,-0.0695337761530125,-0.0047599970369169,0.1784247000461385,-0.0048724244660227,-0.012249887253973,-0.029066341167854,-0.0065659574129368,-0.0193904499197629,-0.0462100124080356,0.0068875758719029,0.1855265501601853,0.0001684100790448,-0.0016165761218474,-0.0391048057272517
0.376,0.000919332,-0.0350249,-0.229982,0.0313782,0.169576,0.0249554,0.00746443,-0.00024966,0.000174668,-0.0593059,-0.232042,0.0288349,0.154478,0.0147668,0.00649738,-0.00351142,0.0046517,-0.0340617,-0.0552725,-0.0073891,0.191416,-0.00576284,0.032043,0.00123249,0,0.0018822033815213,-0.0275797255564317,-0.0615030918435074,-0.0006864684036151,0.1992197750643346,-0.0126037587559907,0.0245142346763761,-0.0878324071381864,-0.0047736002740815,-0.0156801740282642,-0.0618487218998373,-0.0081922900764041,0.1853594461837429,-0.0147671063009834,0.0261509960756475,-0.0232956869077163,0.0075634822007646,-0.0108896095260364,-0.0378623187118266,0.0033232698003348,0.1938981480270905,-0.0107495243148605,0.0380065037100043,-0.0330446608653235,0.0018822033815213,-0.0275797255564317,-0.0615030918435074,-0.0006864684036151,0.1992197750643346,-0.0126037587559907,0.0245142346763761,-0.0878324071381864,-0.0047736002740815,-0.0156801740282642,-0.0618487218998373,-0.0081922900764041,0.1853594461837429,-0.0147671063009834,0.0261509960756475,-0.0232956869077163,0.0075634822007646,-0.0108896095260364,-0.0378623187118266,0.0033232698003348,0.1938981480270905,-0.0107495243148605,0.0380065037100043,-0.0330446608653235
0.377,0.0117919,-0.0245002,-0.241496,0.0315041,0.11147,0.045761,0.0353787,0.00283768,0.0125259,-0.0446394,-0.247176,0.0219529,0.0983755,0.031468,0.0271526,-0.00143425,0.0128504,-0.0204461,-0.0621165,-0.0136438,0.132344,0.0106307,0.0536695,0.000897723,0,0.008217572877143,-0.0168809356855742,-0.0664279398518701,-0.0022313794611196,0.1394685392054151,0.0073562034395978,0.0489928619068219,-0.05118667268372,0.0055202661749359,-0.0035100627101577,-0.0686921435235565,-0.0132107126168421,0.1299460824764538,0.0015098624230111,0.047422456506855,-0.0095054148230628,0.0162304662655404,0.0015163450637996,-0.0442991797389046,-0.0020063411224081,0.1375464915915723,0.0049902542293339,0.0600433253946703,-0.018930556732819,0.008217572877143,-0.0168809356855742,-0.0664279398518701,-0.0022313794611196,0.1394685392054151,0.0073562034395978,0.0489928619068219,-0.05118667268372,0.0055202661749359,-0.0035100627101577,-0.0686921435235565,-0.0132107126168421,0.1299460824764538,0.0015098624230111,0.047422456506855,-0.0095054148230628,0.0162304662655404,0.0015163450637996,-0.0442991797389046,-0.0020063411224081,0.1375464915915723,0.0049902542293339,0.0600433253946703,-0.018930556732819
0.378,0.0163382,-0.0151407,-0.261527,0.0357477,-0.0156269,0.0455903,0.022235,0.00495178,0.0154919,-0.0292256,-0.269393,0.0247666,-0.0205308,0.0301163,0.00788985,0.0006821,0.0123391,-0.00510964,-0.0769159,-0.0117681,0.0215175,0.00794509,0.0336641,0.000856919,0,0.0084904747453644,-0.0040863349944864,-0.0788791678849072,-0.0022360780017522,0.0215386599416476,0.006420080587215,0.031338197555078,-0.0048412023147791,0.0072109750118206,0.008112482157495,-0.0818047565218605,-0.0110681188929434,0.0222023315532979,-0.0014585769610457,0.0267903032422404,0.008336068998771,0.017109634437363,0.0135371174440404,-0.0581584389553551,1.0211268223796026e-05,0.0316172808258317,0.0012316145405594,0.0398850019643552,-0.0002297952335175,0.0084904747453644,-0.0040863349944864,-0.0788791678849072,-0.0022360780017522,0.0215386599416476,0.006420080587215,0.031338197555078,-0.0048412023147791,0.0072109750118206,0.008112482157495,-0.0818047565218605,-0.0110681188929434,0.0222023315532979,-0.0014585769610457,0.0267903032422404,0.008336068998771,0.017109634437363,0.0135371174440404,-0.0581584389553551,1.0211268223796026e-05,0.0316172808258317,0.0012316145405594,0.0398850019643552,-0.0002297952335175
0.379,0.02036,-0.0125277,-0.268814,0.0371186,-0.139427,0.0259164,-0.00209128,0.00124922,0.01496,-0.0198906,-0.276971,0.0284605,-0.137043,0.0150951,-0.0182026,-0.00196418,0.00735859,0.00291155,-0.0789309,-0.00803931,-0.0987312,-0.00774582,0.00769141,-0.00374144,0,0.0077390674998719,0.0022537169163275,-0.0792876893956528,-0.0044064469979357,-0.104017691124114,-0.0119000138792956,0.0051753630925294,0.0398317393904918,0.0049687216850632,0.0104016183623257,-0.0813814509818868,-0.007716703754111,-0.0950791247541862,-0.0170811090965775,0.0007203172736989,0.0228376678433538,0.0135335639338748,0.015921185305539,-0.0588934950545634,0.0028950924745147,-0.0867107769685051,-0.0151073304649021,0.0139550928840977,0.0152743387841661,0.0077390674998719,0.0022537169163275,-0.0792876893956528,-0.0044064469979357,-0.104017691124114,-0.0119000138792956,0.0051753630925294,0.0398317393904918,0.0049687216850632,0.0104016183623257,-0.0813814509818868,-0.007716703754111,-0.0950791247541862,-0.0170811090965775,0.0007203172736989,0.0228376678433538,0.0135335639338748,0.015921185305539,-0.0588934950545634,0.0028950924745147,-0.0867107769685051,-0.0151073304649021,0.0139550928840977,0.0152743387841661
0.38,0.0175243,-0.0185786,-0.245857,0.0395366,-0.201887,0.0207734,-0.0138787,-0.00671864,0.00834876,-0.0186728,-0.254062,0.0324265,-0.197836,0.0181125,-0.0283614,-0.00837097,-0.00343033,0.00350671,-0.0511317,-0.00511334,-0.152135,-0.00500249,-0.00425436,-0.0124029,0,0.0005752567769871,0.0014783606611716,-0.0484250680373616,-0.0065907928267333,-0.1572717496945496,-0.0145612551557247,-0.0088492391565529,0.0766075457590373,-0.0032606086501746,0.0041649546950851,-0.0499395196082922,-0.0060147390832717,-0.1463722993629022,-0.0144052480785176,-0.0114215957362057,0.031602376631042,0.0047322014714574,0.0099187763543614,-0.0293220920651308,0.0043532182206691,-0.1365864626196877,-0.0128406407364388,0.0013636133315138,0.0254883755635419,0.0005752567769871,0.0014783606611716,-0.0484250680373616,-0.0065907928267333,-0.1572717496945496,-0.0145612551557247,-0.0088492391565529,0.0766075457590373,-0.0032606086501746,0.0041649546950851,-0.0499395196082922,-0.0060147390832717,-0.1463722993629022,-0.0144052480785176,-0.0114215957362057,0.031602376631042,0.0047322014714574,0.0099187763543614,-0.0293220920651308,0.0043532182206691,-0.1365864626196877,-0.0128406407364388,0.0013636133315138,0.0254883755635419
0.381,0.00739355,-0.0256583,-0.23098,0.047078,-0.170509,0.0303147,-0.0317613,-0.0218319,-0.00107287,-0.017893,-0.240551,0.0386296,-0.16715,0.0336203,-0.0440502,-0.0221245,-0.0174556,0.00286497,-0.0347737,0.000610332,-0.125157,0.00970563,-0.0207986,-0.0274674,0,-0.0134768249694724,-0.0012407620913231,-0.0262039250149123,-0.0025348240131067,-0.1276150505391107,-0.002396319469891,-0.0262044365579991,0.0969074288443911,-0.0146404414456823,-0.0036163758491931,-0.0290455205775303,-0.0020927335210448,-0.1182537994930561,0.0004287529508835,-0.0279007755147494,0.0295616238389251,-0.0075011890405524,0.002098025531798,-0.0110508165375765,0.0076530877444797,-0.1093495550359143,0.0013723536300559,-0.0156311542453659,0.0252565325443139,-0.0134768249694724,-0.0012407620913231,-0.0262039250149123,-0.0025348240131067,-0.1276150505391107,-0.002396319469891,-0.0262044365579991,0.0969074288443911,-0.0146404414456823,-0.0036163758491931,-0.0290455205775303,-0.0020927335210448,-0.1182537994930561,0.0004287529508835,-0.0279007755147494,0.0295616238389251,-0.0075011890405524,0.002098025531798,-0.0110508165375765,0.0076530877444797,-0.1093495550359143,0.0013723536300559,-0.0156311542453659,0.0252565325443139
0.382,-0.0188464,-0.0300109,-0.233049,0.0440791,-0.127222,0.0439167,-0.0419756,-0.0209987,-0.0226828,-0.0148936,-0.243754,0.034111,-0.120615,0.0489017,-0.0517789,-0.0201251,-0.043996,0.00458578,-0.0354026,-0.00500963,-0.0732582,0.025858,-0.0311153,-0.0278328,0,-0.0434247443042409,-0.0020208742361357,-0.0204325148612751,-0.0087060705324639,-0.0770591317036317,0.0154800554373975,-0.0360027413990768,0.1164211012499626,-0.0390165264647685,-0.0083203972687735,-0.0249048704422818,-0.0099014367226397,-0.0658703024815493,0.0166913757732023,-0.037973934426675,0.0358078079608338,-0.032394282991465,-0.0026352712706778,-0.0096215256614022,-0.0006029817172337,-0.0566012159189968,0.0176806600881825,-0.0269947424202037,0.0334939111516745,-0.0434247443042409,-0.0020208742361357,-0.0204325148612751,-0.0087060705324639,-0.0770591317036317,0.0154800554373975,-0.0360027413990768,0.1164211012499626,-0.0390165264647685,-0.0083203972687735,-0.0249048704422818,-0.0099014367226397,-0.0658703024815493,0.0166913757732023,-0.037973934426675,0.0358078079608338,-0.032394282991465,-0.0026352712706778,-0.0096215256614022,-0.0006029817172337,-0.0566012159189968,0.0176806600881825,-0.0269947424202037,0.0334939111516745
