ZC_mark,ZC_Smoothed_Filtered_right_TA,ZC_Smoothed_Filtered_right_RF,ZC_Smoothed_Filtered_right_VM,ZC_Smoothed_Filtered_right_MG,ZC_Smoothed_Filtered_left_TA,ZC_Smoothed_Filtered_left_RF,ZC_Smoothed_Filtered_left_VM,ZC_Smoothed_Filtered_left_MG
0,24,15,24,34,32,23,22,16
0,24,16,30,34,33,22,24,20
0,29,17,30,32,28,26,26,22
0,30,17,30,33,35,21,23,23
0,30,18,29,30,32,30,19,19
0,30,20,28,30,39,30,22,23
0,25,19,31,27,40,27,26,26
0,23,21,32,28,36,25,26,29
0,22,24,32,28,32,22,26,25
0,23,25,26,23,27,22,19,26
0,28,22,27,30,18,22,19,20
0,41,20,29,34,21,18,16,18
0,53,18,30,30,22,18,17,18
0,51,17,28,30,30,17,22,19
0,52,19,27,25,34,17,23,18
0,28,18,22,24,36,19,22,17
0,29,21,24,21,40,20,16,17
0,30,19,21,21,37,19,14,15
0,32,17,29,18,35,21,17,17
0,30,18,31,20,33,21,19,25
0,30,23,30,23,36,20,21,28
0,30,25,28,23,33,18,20,32
0,30,23,26,26,33,14,14,26
0,28,19,33,28,25,15,11,20
0,24,16,33,32,22,18,12,16
0,24,16,33,37,21,18,16,17
0,20,19,35,42,25,19,16,19
0,23,21,40,43,26,18,17,23
0,24,18,41,39,20,21,17,25
0,27,17,39,36,18,21,16,24
0,27,20,31,28,15,23,19,21
0,22,20,24,28,15,22,18,22
0,22,22,28,24,21,19,20,24
0,24,20,26,19,27,18,18,28
0,28,22,28,16,36,20,16,32
0,31,18,29,17,35,22,15,27
0,31,16,28,22,35,19,13,24
0,27,15,31,29,29,16,14,18
0,25,19,33,32,25,16,13,15
0,19,22,31,29,29,16,13,12
0,23,21,25,28,32,19,15,15
0,24,17,22,30,40,23,19,19
0,21,17,17,29,30,21,25,24
0,19,23,20,24,27,19,28,28
0,23,27,23,13,26,16,31,32
0,27,26,24,13,26,13,31,33
0,30,22,27,13,31,14,25,29
0,30,23,26,17,29,15,25,26
0,26,18,25,19,30,16,22,18
0,26,16,24,19,31,17,23,17
0,23,17,23,25,29,16,25,14
0,21,13,21,30,26,16,21,13
0,18,13,23,40,20,17,22,14
0,13,12,25,45,18,19,28,14
0,13,11,29,44,18,25,31,16
0,12,11,29,37,26,25,33,27
0,15,15,25,25,29,24,25,27
0,16,17,22,16,29,23,19,31
0,19,20,19,14,30,18,19,25
0,22,17,23,17,28,20,24,26
0,27,16,22,17,30,24,24,31
0,30,15,25,22,31,26,26,30
0,29,15,23,23,27,30,22,25
0,29,17,20,27,32,24,23,17
0,24,19,22,34,32,20,20,18
0,32,30,32,22,36,24,21,29
0,30,27,30,21,39,18,16,35
0,30,26,30,23,44,21,12,30
0,28,21,28,30,45,20,18,29
0,22,23,23,34,39,22,24,29
0,17,26,20,28,26,20,27,28
0,18,22,33,25,26,17,26,24
0,24,18,36,22,23,19,25,20
