Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark
0.058,0.0560996,0.0201328,0.0214282,0.027862,0.165023,0.218937,-0.0114048,-0.24543,
0.059,0.0871308,0.0296004,0.0234013,0.029647,0.133438,0.226622,-0.0154906,-0.436822,
0.06,0.0882607,0.036474,0.025003,0.028396,0.119304,0.221988,-0.0161219,-0.778494,
0.061,0.0600536,0.0417558,0.0255561,0.0209932,0.110358,0.210952,-0.0158924,-0.936158,
0.062,0.0315977,0.0420706,0.0266114,0.0175585,0.0839438,0.195829,-0.0170444,-0.769257,
0.063,0.0201741,0.0409293,0.0273749,0.0168701,0.0539979,0.175829,-0.0172467,-0.473416,
0.064,0.0426539,0.0392443,0.0271647,0.0135901,0.0276122,0.148186,-0.0152072,-0.359381,
0.065,0.0480932,0.0356816,0.0289441,0.0130646,-0.00400882,0.127598,-0.0140834,0.0314237,
0.066,0.0274569,0.0312343,0.0309974,0.0156255,-0.0257163,0.10896,-0.011629,0.745875,
0.067,0.0157015,0.0267668,0.0318434,0.0201141,-0.0436657,0.0878607,-0.00875447,0.903847,
0.068,0.00744585,0.0237303,0.0287988,0.0219717,-0.0660223,0.0669038,-0.00554037,0.597692,
0.069,0.0136226,0.0233742,0.0217115,0.0187091,-0.0941106,0.0398363,-0.00489387,0.423339,
0.07,0.00171355,0.0246158,0.0218233,0.0160204,-0.116256,0.00699211,-8.75e-05,0.483676,
0.071,-0.0419672,0.0236774,0.025297,0.015265,-0.129532,-0.0270202,0.00471909,0.590403,
0.072,-0.0481567,0.0272417,0.0287958,0.0147638,-0.129368,-0.0518403,0.00877803,0.613426,
0.073,-0.043932,0.0339419,0.0322772,0.0159019,-0.137437,-0.0749066,0.0121479,0.619194,
0.074,-0.0569669,0.0411542,0.0342867,0.0156072,-0.158179,-0.0955522,0.0191456,0.68566,
0.075,-0.0436469,0.0451937,0.0335829,0.0162042,-0.172628,-0.114634,0.0256606,0.675392,
0.076,-0.0218853,0.0485798,0.0269943,0.0161458,-0.178661,-0.133606,0.0239021,0.412543,
0.077,-0.0050712,0.049945,0.02176,0.0183551,-0.174523,-0.160094,0.0178566,0.171536,
0.078,0.0158426,0.0488367,0.0198562,0.0217884,-0.15524,-0.186423,0.013832,-0.111685,
0.079,0.0280641,0.0463033,0.0137469,0.019158,-0.140049,-0.211642,0.0115791,-0.49542,
0.08,0.0376464,0.0453866,0.000519373,0.0141566,-0.134157,-0.233517,0.00803472,-0.832658,
0.081,0.0455741,0.0401917,-0.00526691,0.0135267,-0.146931,-0.255103,0.0133241,-1.06363,
0.082,0.05625,0.0355966,-0.00529929,0.0173834,-0.16856,-0.27832,0.0112966,-0.960558,
0.083,0.0713153,0.0343833,0.00316934,0.0215238,-0.183426,-0.291336,0.00368667,-0.602876,
0.084,0.0829311,0.0290011,0.0103856,0.0272857,-0.180249,-0.303172,-0.000167356,-0.143521,
0.085,0.0907453,0.0264427,0.0129135,0.0308468,-0.176389,-0.315938,0.0013732,0.365483,
0.086,0.0930682,0.0234992,0.0106662,0.0338908,-0.182557,-0.324355,0.00187973,0.816376,
0.087,0.0934497,0.0181181,0.00857044,0.0385802,-0.207191,-0.313277,-0.00205279,0.894925,
0.088,0.0977987,0.016347,0.00591106,0.0460544,-0.209206,-0.27337,-0.0076508,0.687107,
0.089,0.104795,0.0155725,-4.79e-05,0.059394,-0.203708,-0.200392,-0.0110913,0.173901,
0.09,0.109731,0.0156598,-0.00950797,0.0741134,-0.203774,-0.0931238,-0.0112235,-0.185721,
0.091,0.110695,0.0193189,6.16e-05,0.0693277,-0.187326,0.0101907,-0.0070841,-0.216427,
0.092,0.108905,0.0238937,0.0202761,0.0647609,-0.166658,0.0631465,-0.00213248,-0.162497,
0.093,0.11252,0.0277944,0.0232663,0.0490684,-0.148865,0.0899366,-0.00147972,-0.179197,
0.094,0.118603,0.0310729,0.0241336,0.026037,-0.170506,0.101006,-0.00100155,-0.260827,
0.095,0.126726,0.0359034,0.0181961,0.00395905,-0.189047,0.0870591,-0.00209162,-0.41889,
0.096,0.132247,0.0406023,0.0135246,0.00485628,-0.186992,0.0629851,-0.00664889,-0.353688,
0.097,0.130479,0.0444266,0.00714507,-0.000672824,-0.18699,0.0395799,-0.00777635,-0.15043,
0.098,0.123824,0.0467427,0.00572159,-0.0301117,-0.207834,0.0254385,-0.00877084,-0.138848,
0.099,0.126437,0.0477251,0.00220112,0.00300425,-0.225139,0.0151375,-0.00893152,-0.237949,
0.1,0.132015,0.0517864,-0.00168117,-0.0144176,-0.228554,-0.00311117,-0.00837014,-0.381905,
0.101,0.132974,0.0499477,0.00265895,-0.0653047,-0.241154,-0.0160092,-0.00931484,-0.519235,
0.102,0.127066,0.0444427,-0.00225139,-0.0297956,-0.23031,-0.0277324,-0.0101297,-0.500739,
0.103,0.117377,0.0407716,-0.00233832,-0.00303392,-0.196456,-0.029836,-0.0143654,-0.357909,
0.104,0.105183,0.0394079,-0.00464584,-0.0123798,-0.164257,-0.022213,-0.0165486,-0.208986,
0.105,0.0901924,0.0329463,-0.00672171,-0.0392916,-0.119542,-0.0402818,-0.00772927,-0.106349,
0.106,0.0835168,0.0249709,-0.00786776,-0.00953669,-0.110439,-0.0597795,0.00482818,-0.167027,
0.107,0.0797822,0.0157511,-0.00891769,0.0312414,-0.1271,-0.0725342,0.0169538,-0.171601,
0.108,0.0821266,0.00978349,-0.00491186,0.0499823,-0.128932,-0.0828946,0.0200951,-0.239685,
0.109,0.0939086,0.00453971,0.000581377,0.0616023,-0.109419,-0.0875406,0.00979387,-0.386628,
0.11,0.10235,-0.00287573,0.0129746,0.0924736,-0.0801459,-0.0886166,-0.00633614,-0.420884,
0.111,0.095757,-0.00996672,0.0170307,0.109882,-0.0242605,-0.0887149,-0.0223877,-0.419969,
0.112,0.0790651,-0.0124683,0.013861,0.114798,0.0321237,-0.0872375,-0.038226,-0.311399,
0.113,0.0722048,-0.0117006,0.00236132,0.118083,0.0799476,-0.0893528,-0.0523152,-0.148465,
0.114,0.0710115,-0.00741255,-0.00417443,0.122025,0.093045,-0.0938142,-0.0498815,-0.0576586,
0.115,0.0718476,-0.00012803,-0.0127532,0.127168,0.115764,-0.0959829,-0.0353425,-0.043937,
0.116,0.050306,0.00542245,-0.0159313,0.145312,0.157888,-0.0954231,-0.0296173,-0.0691014,
0.117,0.0308992,0.00730172,-0.0193847,0.157444,0.163902,-0.0939083,-0.0230253,-0.115483,
0.118,0.0297763,0.0109567,-0.0258753,0.156452,0.162088,-0.0943902,-0.0185665,-0.146398,
0.119,0.0451071,0.0153964,-0.0342123,0.146234,0.176889,-0.0972739,-0.0152769,-0.103447,
0.12,0.0631231,0.0240098,-0.0369746,0.129527,0.194495,-0.105007,-0.0130144,-0.0751132,
0.121,0.0719316,0.0311763,-0.0462357,0.115122,0.204396,-0.118946,-0.0130687,-0.164445,
0.122,0.0578198,0.0363141,-0.0588784,0.0985359,0.225938,-0.123908,-0.0151142,-0.202006,
0.123,-0.0205817,0.0396464,-0.0679363,0.080179,0.255138,-0.122471,-0.0117671,-0.155594,
0.124,-0.11828,0.0413801,-0.0631732,0.0597168,0.285652,-0.121872,-0.00734048,-0.0662156,
0.125,-0.126171,0.0353302,-0.0621147,0.041136,0.311284,-0.10992,-0.0048526,0.0360588,
0.126,-0.0409959,0.0282807,-0.0656564,0.0264435,0.295557,-0.103132,0.000905151,0.108884,
0.127,-0.00460363,0.0147522,-0.071695,0.013088,0.262662,-0.106488,0.00447205,0.171274,
0.128,-0.0275738,1.8e-06,-0.076269,0.00736542,0.230766,-0.10506,0.00612016,0.0625532,
0.129,-0.0292315,-0.00788319,-0.0596807,0.00471698,0.248122,-0.10799,0.00539155,-0.121817,
0.13,-0.00826131,-0.0154528,-0.0434039,0.00685664,0.303431,-0.108946,0.00403794,-0.220235,
0.131,0.0490207,-0.0255174,-0.0296481,0.0109681,0.340572,-0.105323,0.00357451,-0.216736,
