SSC_mark,SSC_Smoothed_Filtered_right_TA,SSC_Smoothed_Filtered_right_RF,SSC_Smoothed_Filtered_right_VM,SSC_Smoothed_Filtered_right_MG,SSC_Smoothed_Filtered_left_TA,SSC_Smoothed_Filtered_left_RF,SSC_Smoothed_Filtered_left_VM,SSC_Smoothed_Filtered_left_MG
0,60,37,38,64,69,46,39,32
0,71,42,41,51,64,40,38,33
0,72,40,48,45,62,36,36,44
0,75,40,40,40,53,32,29,46
0,76,35,44,45,59,33,32,54
0,71,37,43,36,50,29,31,56
0,58,45,36,39,46,33,30,43
0,43,46,35,42,42,36,27,38
0,30,43,40,51,42,48,29,30
0,26,33,38,49,41,51,29,32
0,36,33,40,54,44,49,27,31
0,42,42,31,48,46,43,21,34
0,48,42,33,55,59,33,28,34
0,46,38,31,53,63,36,34,37
0,52,32,32,47,57,40,35,38
0,57,29,30,38,52,41,35,53
0,62,33,30,30,40,33,33,65
0,71,39,28,38,44,40,34,70
0,70,42,33,33,46,38,31,64
0,73,47,39,39,46,48,32,53
0,72,49,41,44,45,42,32,49
0,82,41,45,44,42,49,27,46
0,82,41,48,38,42,47,26,43
0,79,47,48,33,42,42,46,44
0,61,39,53,32,38,36,51,37
0,51,39,47,41,32,30,63,38
0,44,29,35,47,39,27,42,39
0,45,28,24,50,42,34,41,42
0,51,27,23,50,57,37,38,42
0,56,28,27,39,54,41,34,48
0,54,28,28,38,54,35,34,51
0,58,32,29,36,49,38,30,70
0,67,28,30,53,52,37,30,67
0,75,41,36,46,48,37,30,72
0,82,41,41,53,43,35,30,57
0,81,49,54,40,34,37,30,42
0,88,41,49,45,35,40,38,37
0,81,37,55,49,46,33,46,36
0,65,28,43,44,65,31,46,42
0,48,29,41,58,71,31,46,44
0,39,36,38,62,66,38,30,36
0,47,29,38,57,64,41,30,35
0,55,29,42,46,64,40,32,29
0,69,31,47,35,56,38,34,36
0,79,33,43,34,39,42,32,52
0,84,34,42,34,30,44,30,72
0,79,34,34,36,40,43,27,77
0,72,26,42,37,36,46,28,75
0,64,36,49,27,33,44,34,63
0,68,36,50,27,21,44,37,58
0,65,41,46,26,35,37,33,51
0,50,43,38,29,46,39,28,42
0,42,38,25,43,56,41,22,42
0,39,43,28,53,58,39,23,39
0,45,33,24,52,63,37,33,44
0,51,40,34,52,56,32,45,51
0,51,37,44,44,56,29,49,49
0,63,33,39,36,59,30,51,38
0,66,36,40,32,54,29,44,38
0,79,30,31,27,45,35,36,48
0,85,31,38,36,36,38,34,66
0,88,31,37,43,37,34,31,62
0,89,27,37,41,50,32,30,56
0,84,22,34,45,51,40,29,44
0,78,21,28,53,63,46,44,36
0,61,29,25,52,69,40,54,38
0,57,38,37,55,76,30,54,42
0,52,48,38,53,57,24,42,42
0,76,34,31,33,49,56,40,73
0,77,44,25,30,44,47,39,60
0,80,42,24,27,42,37,33,45
0,64,37,28,30,50,34,34,37
0,58,30,31,44,59,33,32,36
0,55,24,34,51,57,33,38,45
0,54,26,30,61,55,33,45,43
0,54,35,35,54,50,35,47,52
0,66,37,33,45,59,41,51,61
0,73,42,35,36,64,46,49,69
0,75,39,29,31,68,42,45,65
0,72,36,24,34,67,36,38,60
0,74,32,24,29,64,25,31,65
0,75,35,21,30,58,27,31,73
0,74,33,30,24,47,26,30,71
0,63,39,34,22,43,39,29,51
0,70,43,44,20,43,42,25,30
0,69,55,42,21,49,45,22,26
0,64,57,37,26,58,40,22,31
0,56,50,33,28,65,34,24,35
0,58,49,25,44,69,40,28,33
0,62,43,34,45,70,49,37,30
0,60,33,38,43,64,59,46,39
0,51,29,41,32,57,52,40,47
0,47,26,37,27,45,41,38,56
0,59,24,29,24,37,32,36,62
0,76,23,25,29,35,28,35,69
0,83,27,30,29,40,34,34,73
0,86,39,38,34,45,40,37,70
0,90,47,43,38,45,35,37,54
0,84,64,48,41,51,36,35,38
0,86,68,50,39,56,29,28,33
0,70,57,41,35,65,31,23,34
0,58,44,38,30,58,26,25,29
0,49,30,38,23,61,30,28,33
0,53,31,45,32,58,37,27,37
0,56,23,43,36,58,40,28,43
0,63,28,38,38,53,35,33,50
0,61,30,33,37,49,34,44,60
0,71,32,32,33,47,34,49,65
0,78,35,32,33,56,42,51,62
0,82,36,24,40,55,42,48,63
