Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,mark
0.063,-0.272195,-0.256383,0.356405,0.571617,0.348459,-0.216488,-0.66684,0.242156,
0.064,-0.365431,-0.309994,0.245997,0.658682,0.299968,-0.204385,-0.637839,0.312694,
0.065,-0.323321,-0.353891,0.13778,0.725793,0.220191,-0.206041,-0.607141,0.359336,
0.066,-0.216583,-0.340051,0.0358004,0.792645,0.13318,-0.191127,-0.574339,0.402591,
0.067,-0.152085,-0.335288,-0.0692266,0.850693,0.0186563,-0.162708,-0.534149,0.481405,
0.068,-0.178349,-0.345372,-0.178165,0.894748,-0.127115,-0.132049,-0.49201,0.587189,
0.069,-0.20815,-0.330512,-0.293111,0.923987,-0.247533,-0.101802,-0.456175,0.615938,
0.07,-0.252013,-0.311189,-0.40515,0.934988,-0.319511,-0.0714209,-0.419544,0.455294,
0.071,-0.359261,-0.308641,-0.517228,0.924238,-0.390159,-0.0418603,-0.380971,0.297088,
0.072,-0.158047,-0.306303,-0.630425,0.908743,-0.478087,-0.0217428,-0.343039,0.242858,
0.073,0.0146522,-0.311154,-0.743505,0.887604,-0.515561,-0.0162913,-0.304432,0.195005,
0.074,-0.105113,-0.331271,-0.859616,0.857268,-0.514067,-0.0164224,-0.262618,0.153702,
0.075,-0.194538,-0.347252,-0.973617,0.838141,-0.509347,-0.0135471,-0.213328,0.19273,
0.076,-0.138663,-0.356586,-1.07397,0.832825,-0.535769,-0.00950685,-0.167129,0.216256,
0.077,-0.116734,-0.364954,-1.16216,0.829984,-0.568821,-0.00802353,-0.128157,0.224017,
0.078,-0.127748,-0.384342,-1.236,0.824074,-0.592977,0.00259597,-0.086459,0.125939,
0.079,-0.103949,-0.383877,-1.29228,0.797594,-0.585012,0.00542238,-0.0405781,-0.0384543,
0.08,0.0233546,-0.339968,-1.32482,0.771777,-0.575491,0.000104853,0.0113963,-0.0956123,
0.081,0.190568,-0.305646,-1.33628,0.755706,-0.600687,0.00483391,0.06467,-0.001772,
0.082,0.116478,-0.321575,-1.3334,0.781213,-0.629905,0.0188999,0.113666,0.0839032,F1
0.083,-0.0621872,-0.358587,-1.32136,0.840641,-0.559421,0.0366468,0.16352,0.052639,
0.084,-0.128881,-0.40552,-1.30686,0.839222,-0.471494,0.0567063,0.220053,-0.0231694,
0.085,-0.145232,-0.412982,-1.29141,0.804931,-0.425838,0.086375,0.278286,-0.0290278,
0.086,-0.154855,-0.402518,-1.27423,0.777753,-0.39633,0.111302,0.328229,0.00204746,
0.087,-0.10116,-0.383634,-1.24968,0.744612,-0.359614,0.123405,0.374791,0.0306508,
0.088,-0.0599313,-0.363895,-1.22571,0.700678,-0.302726,0.121497,0.415129,0.0419735,
0.089,-0.0722864,-0.376043,-1.19998,0.656062,-0.219639,0.106801,0.448254,0.0205541,
0.09,-0.0739973,-0.384244,-1.17118,0.619494,-0.129508,0.0826098,0.488244,-0.0487442,
0.091,-0.0579896,-0.399452,-1.13539,0.582842,-0.064502,0.0589353,0.525897,-0.100609,
0.092,-0.0169088,-0.419704,-1.09921,0.534861,-0.0082172,0.0500781,0.546211,-0.0711027,
0.093,0.0376406,-0.460967,-1.06338,0.496437,0.0315736,0.0576019,0.558362,-0.0496689,
0.094,0.0445161,-0.524054,-1.01862,0.455024,0.0809015,0.074918,0.562528,-0.0559266,
0.095,0.0825161,-0.58395,-0.96906,0.39631,0.119583,0.0912995,0.566017,-0.0505682,
0.096,0.123607,-0.603514,-0.915489,0.267737,0.145192,0.106008,0.570871,-0.0253314,
0.097,0.0989627,-0.588647,-0.854368,0.130233,0.182663,0.107082,0.568922,0.0139744,
0.098,0.0355815,-0.564559,-0.787694,0.0116121,0.223609,0.0970844,0.573019,0.0508635,
0.099,-0.00111492,-0.558735,-0.718669,-0.103966,0.22959,0.0761966,0.581432,0.10445,
0.1,0.0436022,-0.511801,-0.642289,-0.198963,0.202497,0.0574281,0.589789,0.204506,
0.101,0.127614,-0.401306,-0.565668,-0.279678,0.161968,0.0477244,0.592902,0.296888,
0.102,0.17033,-0.266578,-0.480786,-0.367226,0.132844,0.042367,0.592723,0.313035,
0.103,0.208935,-0.173641,-0.394996,-0.451367,0.0903876,0.0521317,0.595207,0.318496,
0.104,0.17488,-0.0508077,-0.306161,-0.530376,0.0367888,0.0592472,0.591998,0.187772,
0.105,0.059341,0.0365768,-0.221704,-0.615531,-0.0110698,0.062589,0.587988,0.139844,
0.106,-0.0326116,0.0941259,-0.14021,-0.698055,-0.0443505,0.0753948,0.581732,0.0693793,
0.107,-0.0502893,0.180769,-0.0611676,-0.75408,-0.0598038,0.0955202,0.567751,-0.260116,
0.108,0.0188749,0.268357,0.0109052,-0.795846,-0.068241,0.111834,0.549185,-0.444317,
0.109,0.120467,0.317724,0.0849065,-0.855968,-0.0599072,0.119028,0.524533,-0.368418,
0.11,0.207286,0.320238,0.153587,-0.943949,-0.0463817,0.132442,0.497519,-0.270897,
0.111,0.244431,0.360259,0.204351,-1.02874,-0.0313149,0.155316,0.465708,-0.199454,
0.112,0.196584,0.430784,0.244196,-1.09563,-0.0362899,0.180433,0.425637,-0.0674692,
0.113,0.12829,0.456777,0.279235,-1.1682,-0.0598912,0.21572,0.381485,-0.0211911,
0.114,0.0776474,0.459676,0.309094,-1.2653,-0.0624722,0.255857,0.33194,-0.100907,
0.115,0.0851443,0.516964,0.334908,-1.33772,-0.0610633,0.304715,0.279476,-0.176532,
0.116,0.0547941,0.532665,0.353427,-1.38788,-0.0654142,0.354905,0.224138,-0.206853,
0.117,0.00908301,0.486785,0.369702,-1.42444,-0.051284,0.398616,0.170253,-0.232547,
0.118,-0.0197141,0.580856,0.380304,-1.44784,-0.00432606,0.429874,0.116595,-0.194464,
0.119,-0.0428942,0.705302,0.388699,-1.45365,0.0308447,0.454958,0.0670794,-0.120134,
0.12,-0.0121303,0.669054,0.395058,-1.43956,0.0484691,0.47224,0.0222226,-0.19516,
0.121,0.0343809,0.566058,0.39883,-1.40876,0.0465607,0.472584,-0.0189738,-0.242308,
0.122,0.0465804,0.655701,0.403103,-1.36056,0.0179146,0.470938,-0.0552647,-0.243009,
0.123,0.061685,0.812627,0.406282,-1.30235,0.0224507,0.463897,-0.0919848,-0.251797,
0.124,0.0607224,0.95015,0.397077,-1.23987,0.0576652,0.454244,-0.122383,-0.276627,
0.125,0.0643255,0.987325,0.380041,-1.17742,0.0942017,0.434485,-0.151312,-0.344038,
0.126,0.0767728,0.971453,0.363417,-1.11162,0.103202,0.409585,-0.176582,-0.493519,
0.127,0.077576,0.948001,0.352891,-1.04173,0.105373,0.38529,-0.19633,-0.507522,
0.128,0.0583976,0.930718,0.346938,-0.97284,0.120038,0.343176,-0.216075,-0.358474,
0.129,0.0341914,0.910841,0.342074,-0.912162,0.134686,0.295865,-0.229234,-0.195522,
0.13,0.00727108,0.905645,0.339541,-0.855238,0.144906,0.250046,-0.240811,-0.076507,
0.131,-0.00404853,0.895881,0.341095,-0.79182,0.13843,0.202266,-0.248751,0.0794539,
0.132,0.0194257,0.857911,0.341838,-0.725911,0.140968,0.154543,-0.251314,0.158889,
0.133,0.0485819,0.839639,0.346055,-0.664536,0.156881,0.107921,-0.251293,0.197859,
0.134,0.0603973,0.824072,0.353153,-0.603802,0.184138,0.0654211,-0.25041,0.26179,
0.135,0.0635261,0.799385,0.35622,-0.538952,0.163492,0.0211284,-0.247321,0.306217,
0.136,0.060538,0.727834,0.355703,-0.469479,0.117289,-0.0271928,-0.240178,0.268882,
0.137,0.00127307,0.650296,0.351317,-0.399253,0.0997354,-0.0750486,-0.231676,0.208808,
0.138,-0.0535471,0.61199,0.346385,-0.331637,0.0963628,-0.118552,-0.219899,0.161479,
0.139,-0.0374485,0.585653,0.345903,-0.265982,0.0811215,-0.164297,-0.208187,0.159497,
0.14,-0.034765,0.556902,0.342092,-0.203853,0.0458422,-0.212268,-0.195877,0.232689,
0.141,-0.070585,0.526128,0.334652,-0.140915,-0.00712022,-0.255328,-0.185948,0.095754,
0.142,-0.0584812,0.473144,0.330444,-0.0798387,-0.0479371,-0.293029,-0.171739,0.00704924,
0.143,-0.0306812,0.46224,0.324015,-0.0236309,-0.0382468,-0.327849,-0.15605,0.0818124,
0.144,-0.0292665,0.471929,0.315644,0.0329334,0.00780621,-0.361232,-0.140606,0.0742841,
0.145,-0.0392574,0.484222,0.308426,0.0893834,0.0103939,-0.393712,-0.129016,-0.0685892,
0.146,-0.0490614,0.536726,0.300765,0.141042,-0.0726745,-0.411578,-0.128614,-0.102244,
0.147,-0.0593158,0.576462,0.289875,0.185323,-0.219597,-0.41376,-0.147037,-0.0535202,
0.148,-0.0578095,0.576297,0.274092,0.227842,-0.288423,-0.423566,-0.163065,-0.161654,
0.149,-0.0723814,0.539408,0.260534,0.268481,-0.331074,-0.44258,-0.170473,-0.260145,
0.15,-0.0808234,0.512791,0.24823,0.306432,-0.357083,-0.462874,-0.173889,-0.25872,
0.151,-0.0831795,0.487964,0.237042,0.338889,-0.368416,-0.476884,-0.180167,-0.296545,
0.152,-0.105755,0.456903,0.226847,0.364881,-0.366897,-0.48098,-0.190226,-0.352903,
0.153,-0.129935,0.404964,0.213986,0.391417,-0.352075,-0.487701,-0.199863,-0.357337,
0.154,-0.116995,0.365772,0.200295,0.412474,-0.354149,-0.486572,-0.212539,-0.37853,
0.155,-0.118907,0.35332,0.184528,0.424325,-0.3494,-0.475008,-0.219872,-0.46204,
0.156,-0.0733422,0.310712,0.164933,0.439414,-0.325235,-0.450166,-0.225308,-0.487868,
0.157,0.0460592,0.261468,0.144989,0.452844,-0.311369,-0.413967,-0.232541,-0.416154,
0.158,0.0969618,0.203245,0.117788,0.465362,-0.297888,-0.373841,-0.24119,-0.356533,
0.159,0.0940449,0.167419,0.10224,0.481872,-0.284756,-0.353947,-0.247371,-0.210675,
0.16,0.0291607,0.155338,0.101797,0.500174,-0.288236,-0.341632,-0.247047,-0.04839,
0.161,-0.0510095,0.199134,0.104419,0.528979,-0.2811,-0.32522,-0.243877,-0.0100709,
0.162,0.0929997,0.29765,0.115289,0.563647,-0.296658,-0.303192,-0.2375,-0.0292912,
0.163,0.334666,0.321154,0.130298,0.590198,-0.308861,-0.280667,-0.233299,-0.123423,
0.164,0.314667,0.35546,0.144449,0.606566,-0.286072,-0.250734,-0.233062,-0.264934,
0.165,0.0281889,0.475824,0.147061,0.630887,-0.233222,-0.225928,-0.23333,-0.249,
0.166,-0.299803,0.540848,0.143198,0.650372,-0.213644,-0.204966,-0.226872,-0.160511,
0.167,-0.417619,0.565888,0.143659,0.661119,-0.181017,-0.193092,-0.216723,-0.0881461,
0.168,-0.26463,0.535467,0.12441,0.67117,-0.122471,-0.178454,-0.209784,-0.0125526,
0.169,-0.0106209,0.427527,0.0890081,0.682501,-0.0675445,-0.152281,-0.208434,0.0418075,
