WL_mark,WL_Smoothed_Filtered_right_TA,WL_Smoothed_Filtered_right_RF,WL_Smoothed_Filtered_right_VM,WL_Smoothed_Filtered_right_MG,WL_Smoothed_Filtered_left_TA,WL_Smoothed_Filtered_left_RF,WL_Smoothed_Filtered_left_VM,WL_Smoothed_Filtered_left_MG,Label
0.0,4.904075278994148,4.905544871296423,14.460658176333045,17.321941721236534,27.082159886840707,6.434788697762005,8.98653869987064,37.3395182406448,0
0.0,3.0153904112350727,2.447632888182638,10.163633289984116,28.300046855802957,8.893717470571627,5.069282095588298,10.270903940338869,29.122404687181056,0
0.0,2.2830322807373173,16.99796597675067,3.596943270710704,3.7249274702268567,8.303636687487245,14.107996531524725,4.496925544732957,3.7973174271338426,1
0.0,6.742400643440707,12.074407355661014,11.35856296139812,6.483824186512801,8.43138461348752,8.812246105120721,6.489177550918532,22.154132478509567,0
0.0,8.253742888737875,6.176514498373055,6.045235636180008,32.12632226933808,44.75205263297431,11.990876184198584,51.74843657758237,54.20989209865261,0
0.0,9.698856296872666,16.79242475774845,394.8419259878578,3.1770401081387885,7.09677111817546,3.5601728011691924,4.872533927680308,6.273436184286181,1
0.0,118.98656485622868,6.332482853690656,1.897292277745218,6.225126632367742,254.82620731724677,12.85271614218808,15.133771322379674,10.361761967678303,0
0.0,17.46742448775675,2.832026562271957,2.043536305270196,46.34907775973434,114.6587579904127,11.211563883157469,40.65616712860138,12.449502834755537,1
0.0,6.599842317053188,1.88695581992854,2.903831852103388,7.93426525843697,12.303506192727076,2.8954245876838423,1.7360348361868354,2.0778695412091794,0
0.0,5.318434703482513,12.90586037859886,2.189475571029006,7.335401329789161,11.988160142650834,9.939543733334888,7.640772539529188,12.045806389787868,1
0.0,5.763739532453816,3.152450539490077,2.601292264440799,9.53862221960195,6.501002044040081,2.720716143540609,1.805269568366482,8.488059242485473,1
0.0,5.67509847790057,5.8722095021503655,2.9477798930356447,1.4128376162578196,2.427109152135437,3.676414508115887,1.8903313157402333,5.105261101456546,1
0.0,11.442958288765931,11.161544612102237,5.161308907651463,47.72252336737067,46.47085665699848,8.235534567689664,9.681364814336025,102.73790574102344,1
0.0,4.899179178141525,2.5845610681499966,4.92927704433326,15.559116457434962,14.956536054321628,4.6954847040248335,8.685418001523406,15.020425393984,1
