MAV_mark,MAV_Smoothed_Filtered_right_TA,MAV_Smoothed_Filtered_right_RF,MAV_Smoothed_Filtered_right_VM,MAV_Smoothed_Filtered_right_MG,MAV_Smoothed_Filtered_left_TA,MAV_Smoothed_Filtered_left_RF,MAV_Smoothed_Filtered_left_VM,MAV_Smoothed_Filtered_left_MG
0.0,0.058960587433601164,0.13309963013040846,0.23143261215430808,0.21220781283080348,0.08574514034167123,0.1412071172007628,0.3396622772103795,0.19992806454742015
0.0,0.05412590388821593,0.1008470619094866,0.2219198339820111,0.2238303156290527,0.1108718276866082,0.15236810556775107,0.39029539071863223,0.33123595652103244
0.0,0.08017784615452617,0.06882242884868976,0.1648547737805352,0.1876778523373227,0.2280576025303567,0.12346086849004884,0.45589443772547916,0.42707180053987726
0.0,0.09180187755090997,0.052286961140254884,0.20341240547012893,0.13966514838594782,0.2823330808172468,0.11051776895345662,0.35792254977446986,0.42871580104018187
0.0,0.09713943700983454,0.1012384765271563,0.29261101247924726,0.11997655929860693,0.25856452631121163,0.10534587624521494,0.3234783003773474,0.36061615716341544
0.0,0.07517711760756471,0.12870942468294733,0.2697287664536214,0.11758612932790599,0.15859836493780954,0.11280527592171802,0.28288523920385195,0.24558347946960515
0.0,0.07352929130098947,0.1338141893367494,0.22624810817452007,0.11188949007982751,0.07944487718781394,0.1069296415471968,0.1605576588906622,0.08551566032388709
0.0,0.11331210054844916,0.12920994737870495,0.11776518380382765,0.09487357796840525,0.06747527971752731,0.08172578300423922,0.08709446831465946,0.07884206349384286
0.0,0.12701766852736732,0.1018563128888176,0.10781587191114021,0.06765335055681829,0.06559584165425687,0.05397240266978421,0.05585637675938572,0.10040950672986305
0.0,0.12364851767610112,0.11110633781871364,0.09405798129141323,0.14647518239474913,0.07492871108301892,0.0299787031386094,0.03898294319570551,0.11318540804073202
0.0,0.08637935100107344,0.10337526170398027,0.08315748958122327,0.14772259078787367,0.1508672660083111,0.036322183045808414,0.05290797124600563,0.10420120329482299
0.0,0.053788059314353744,0.0981576027861857,0.11241689661818823,0.1498912151128401,0.1544987208528481,0.09470756454876737,0.06716108028608384,0.06141106174913294
0.0,0.051359521339255004,0.08340500060288164,0.13860776084970303,0.14324452002139654,0.16569310829589382,0.11277942291180507,0.07846448521484274,0.05818085670934061
0.0,0.07873578120391517,0.0837266852987917,0.14158201123980493,0.18862997431131948,0.12393662376829317,0.11950453289807166,0.07532712376679905,0.08258779810182643
0.0,0.10381342369755958,0.08173860904887821,0.09068828497721633,0.30804196960967223,0.12091893711360296,0.07467624734403273,0.06365162951876648,0.10497115017998346
0.0,0.10545722386471275,0.08121856749114419,0.04816881283025204,0.5453514620626098,0.1292169321553876,0.08081379568418379,0.1680142858481986,0.16898358673643157
0.0,0.1259596886999826,0.10079600208410194,0.12082607939651115,0.6019944133649686,0.26042130717621215,0.1358811605109274,0.2877322668916539,0.5090810250210457
0.0,0.1173086992631058,0.14070097052694347,0.28814147349295477,0.7117800060298806,0.43975159378525497,0.16628207796661734,0.3343025244912694,0.5862916245962397
0.0,0.1269482125930838,0.16068597250255234,0.4670790768951158,0.56589291924867,0.49967576612080356,0.1725293000665503,0.3730446278424164,0.560349430411948
0.0,0.11830026941137967,0.17928182571478352,0.4995905985730677,0.38602056379651734,0.40402193329398256,0.12564027811525733,0.25968526749864895,0.2922815412682315
0.0,0.10577393149504895,0.14612768163563586,0.37497679758998115,0.2963251787391237,0.1971923264673497,0.1406816179186431,0.23659005263519137,0.1083033348186783
0.0,0.07813409453484965,0.10195996643583896,0.19638417024476823,0.17727548730289797,0.20870771930107507,0.11383496366021098,0.2033190259149072,0.1163227069783248
0.0,0.05980901735123087,0.05972522059059483,0.07646553553370597,0.15664972533283117,0.19011518158926716,0.09635819757848438,0.13627068645362492,0.07797106709494747
0.0,0.05644552563031338,0.044825772674917316,0.032709433999661454,0.11027915474159923,0.2042056941152228,0.06603332189864991,0.08749268118389478,0.06851538840185575
0.0,0.04350319883348206,0.038949245482058234,0.05442640488836966,0.10176755253979178,0.15852918555574086,0.09005799322917463,0.09988531448006631,0.057549383164947315
