MNF_mark,MNF_Smoothed_Filtered_right_TA,MNF_Smoothed_Filtered_right_RF,MNF_Smoothed_Filtered_right_VM,MNF_Smoothed_Filtered_right_MG,MNF_Smoothed_Filtered_left_TA,MNF_Smoothed_Filtered_left_RF,MNF_Smoothed_Filtered_left_VM,MNF_Smoothed_Filtered_left_MG
,43.227586395844796,48.20945084874704,70.75633077245827,54.329937677859064,85.39268315550075,98.20604105977438,84.940284887083,64.10534550245752
,42.178745216017646,71.22767695184034,86.12543974702581,55.6989994173702,87.44267089043126,90.22547377050608,84.8344266232476,72.58882682889507
,49.33350802692491,84.98877671081328,76.73951411198493,78.0707847786585,85.28472377452805,57.439405478982735,89.6952209413476,61.92065144296319
,81.25268240717318,72.25199761464653,74.91231279029812,59.828129743023645,74.89392296175147,49.72969610657276,73.95406890476414,51.31357119437151
,78.91254879231917,55.90988797447822,78.22101195184253,52.086981694026235,58.72312451859155,43.732886431942106,56.163319995318325,47.72759602495001
,61.842857415152224,54.03315367860268,76.97789892459984,61.186756173582694,61.17868606402405,35.00851311569573,52.32394227987419,42.43628832028275
,82.0383188415963,44.689371122471634,60.33794825423157,54.576644878469466,79.12703047906415,54.675255513104396,32.04527857209294,43.66201552729754
,83.20881566365757,70.13679014066614,41.342733575673456,48.356222860074624,66.8882764909788,56.5301831095866,35.31564307947804,38.44110591737255
,72.0392355860731,49.80677629428609,65.73109154784277,58.8419378641546,38.81666404562186,41.57541080218176,45.712975248961,39.64962042594679
,91.0370117416349,38.679610653106224,58.0794355181523,68.04334708204968,39.51293502673523,39.282818937248024,65.43605964474108,39.22455362695071
,103.87756648527846,38.03473599290229,36.43176272979487,64.52163919191904,59.7812910917464,36.10092056296982,74.83386472226047,42.37530834144873
,87.266446049383,34.21676267784808,40.368475038793804,73.4480615527659,75.68182220425855,37.01625210673542,81.71658041467522,48.399260681102184
,72.33507408357693,49.07680847244544,41.026155942674976,72.69931346405474,71.35874189692991,36.37675248427661,75.8777692125333,34.08191085246435
,69.7740767990237,47.30523181017024,37.890828069826114,59.77433366805041,68.9177906038496,42.50278169207211,63.59480926273077,36.152281837330285
,71.7593225407247,39.642719037685254,35.22188101674856,56.93007758203713,74.49881288575396,42.347145486470026,63.78958158293637,55.91161774042068
,34.8440564951269,38.52421088096752,41.95051199000873,31.199204536896122,69.28952369081298,43.73910406201841,67.84667007222087,72.89480060106165
,34.58136400221596,54.43483564848428,67.96054233233504,29.89955134499744,54.602265033988154,39.9316882955888,53.92535083060373,76.30475637640303
,58.319021454338255,44.15461731683524,59.77282086549397,34.984488181251415,52.419696102558596,37.97334122520469,49.78182623159784,88.81770435747595
,70.48555854729406,41.59153407386503,64.94964246804085,67.66069810590137,39.00259490651962,34.7512687350939,84.1023589979446,81.32775149544295
,73.96955051358047,41.882206554676024,84.66486934111097,65.20351389956312,31.442605192907248,31.890229158138304,58.80755267133868,39.31148728897638
,51.503347175509774,42.52564757838102,73.52013738337989,50.970941722938115,29.9504058192432,34.908344591588936,50.58976607536023,46.26221743062985
,69.33428374906214,43.084875138682484,64.93227024274988,36.139760327313176,33.10590412030011,35.286181863481055,34.455889376616,40.14417838849111
,78.91152481096837,64.4508535145729,52.22570633123731,48.950597307987046,43.35050159807329,36.016297620346386,28.67199732748302,27.165758755125708
,84.4067978005972,45.33254131300159,38.473352039704395,81.84272106506002,48.596523283201385,46.337679897257786,71.04610987813507,26.659743423698213
