MNF_mark,MNF_Smoothed_Filtered_right_TA,MNF_Smoothed_Filtered_right_RF,MNF_Smoothed_Filtered_right_VM,MNF_Smoothed_Filtered_right_MG,MNF_Smoothed_Filtered_left_TA,MNF_Smoothed_Filtered_left_RF,MNF_Smoothed_Filtered_left_VM,MNF_Smoothed_Filtered_left_MG
,101.13457688536883,44.785052396498685,42.36243226675731,35.60836226794064,102.3196603400775,102.07185213383372,77.36877266750636,64.16697068198071
,62.062811090224955,37.48844307050122,41.85786465111748,32.32252958064453,93.85420112957974,94.03887134277518,76.2396946024839,60.360567167120365
,47.46388996154578,60.3537977969544,51.643001503113005,32.49749658857205,78.96906174718734,92.73120525859399,79.30939216144459,59.9338085198091
,36.13676769975824,68.70590301129606,49.72425093323322,38.11946566821307,75.77243144575831,90.70953241781477,72.31209209098351,73.44966186374063
,44.45261866986924,101.72693298639781,57.618577334048986,32.01832705614188,84.52914772123414,76.40994829225608,66.57237236860699,65.48570482893933
,53.87869707803264,76.61361406782176,89.83585238524313,38.8182819097677,86.95357369483403,59.786024751602014,71.83572682257893,63.017102863225006
,54.42942046411275,73.09716592810027,90.85143638646399,48.14243409662368,81.58211957157187,36.96728560354319,42.276197589749295,61.758471887674474
,71.83340042027058,75.70106521705834,67.41900827043851,41.02921995089233,86.8570904850359,35.84851653382707,32.385121372293234,65.75151501250525
,92.00825722682265,64.94162827487901,83.62676133142428,42.980157896439756,72.17471585550264,40.62606059811677,33.201204347830426,55.04157348734382
,70.07134121828595,83.36341262988374,83.53369087627725,39.39897045693425,71.24792874486957,63.489152242895976,36.51523375569928,50.49618512117654
,71.02571910079243,84.17082429536426,64.0538484961823,40.80836344525278,41.54800644260413,46.63869103191337,42.564019685925885,47.260268336168004
,78.12033845029076,71.86633631488014,69.45730689603903,79.30202865634901,47.37515864529242,58.946573346760786,58.523790959969936,38.71739277424175
,75.7253182212189,70.14253722865796,44.896952997599165,90.90193175057946,86.81418485832906,47.57405382511679,79.71374757739454,41.64091625648527
,36.72490436462202,42.87766937439009,33.321854730098096,32.25579118732006,81.1410100894314,47.7653638503393,77.25632088896043,40.89462276927275
,54.98983568482359,45.21717246588994,33.30181281434957,32.90251092904083,78.53780663900118,38.44303402927989,64.40536889088429,45.28406258676453
