Time,right_TA,right_RF,right_VM,right_MG,left_TA,left_RF,left_VM,left_MG,Comp Ch 1,Comp Ch 2,Comp Ch 3,Comp Ch 4,Comp Ch 5,Comp Ch 6,Comp Ch 7,Comp Ch 8,Comp Ch 9,Comp Ch 10,Comp Ch 11,Comp Ch 12,Comp Ch 13,Comp Ch 14,Comp Ch 15,Comp Ch 16,mark
0.019,0.103209,-0.23869,0.0126572,0.173556,-0.0238328,0.027761,-0.111451,-0.00345399,0.0861988,-0.245243,0.0122791,0.167692,-0.0251555,0.0214883,-0.115317,-0.00297095,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.02,0.27088,-0.246831,0.011737,0.227557,-0.0136132,0.0480151,-0.0771387,-0.00686936,0.260611,-0.251799,0.0120541,0.22917,-0.0141904,0.0389248,-0.0761069,-0.00611232,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.021,0.375318,-0.249621,0.0101841,0.24028,-0.0159407,0.0877414,-0.031836,-0.00908846,0.361745,-0.253173,0.0109655,0.246449,-0.0160636,0.0770818,-0.0296555,-0.00840367,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.022,0.220918,-0.245588,0.0130559,0.255536,-0.0269285,0.114122,0.0246825,-0.00954705,0.20028,-0.247902,0.0139974,0.265152,-0.0265199,0.102982,0.0264565,-0.00932214,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.023,0.0346364,-0.242735,0.0161692,0.302542,-0.0233115,0.0777249,0.0549426,-0.00494011,0.0192735,-0.243917,0.0170749,0.315279,-0.0222805,0.0677679,0.0573535,-0.00518639,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.024,-0.106665,-0.235902,0.0166249,0.351623,-0.00288269,0.0385394,0.0658453,-0.00309238,-0.105988,-0.236079,0.0176351,0.366358,-0.00186075,0.0324887,0.0706246,-0.00355485,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.025,-0.194494,-0.224926,0.0183241,0.37931,0.0134361,0.00224161,0.0500383,-0.00576331,-0.177609,-0.224898,0.0196331,0.394424,0.013707,0.000673995,0.0558618,-0.00606359,-0.0724553,-0.0324137,0.00414048,0.148542,0.0195067,0.00199107,0.0374928,-0.00260181,
0.026,-0.363667,-0.217503,0.0203661,0.388223,0.0211097,-0.0347988,0.0581015,-0.0137204,-0.337733,-0.218549,0.0217104,0.401806,0.0208132,-0.0323212,0.061471,-0.0138087,-0.234377,-0.0303103,0.00606517,0.141468,0.0250122,-0.033105,0.0402951,-0.00934112,
0.027,-0.628995,-0.204646,0.0219709,0.399201,0.0219706,-0.0558535,0.119948,-0.0176582,-0.596207,-0.207596,0.0228225,0.409232,0.0216208,-0.0489874,0.117652,-0.017805,-0.481118,-0.0247165,0.00744057,0.135941,0.0250961,-0.0458961,0.0928383,-0.0128672,
0.028,-0.609811,-0.189996,0.023887,0.404671,0.01624,-0.0551442,0.134754,-0.0195106,-0.566553,-0.195141,0.0239599,0.409668,0.0157875,-0.0433582,0.126939,-0.020098,-0.457447,-0.0178493,0.00840899,0.126527,0.0174777,-0.0429918,0.100482,-0.0143971,
0.029,-0.463075,-0.185214,0.0246302,0.406655,0.00416698,-0.0732187,0.0932738,-0.0223788,-0.416825,-0.192232,0.0241156,0.40723,0.00309718,-0.0572743,0.0858307,-0.0232358,-0.298736,-0.0219575,0.00898089,0.115709,0.00404738,-0.0529304,0.0561216,-0.0170985,
0.03,-0.291873,-0.176879,0.02364,0.406216,-0.0168091,-0.0740036,0.049678,-0.00837898,-0.252948,-0.185023,0.0230205,0.404534,-0.0186189,-0.0557431,0.0475791,-0.00882109,-0.144582,-0.0211931,0.00756974,0.107694,-0.0196723,-0.0543773,0.0177177,-0.0022323,
0.031,-0.222848,-0.164089,0.0218659,0.390112,-0.0325163,-0.0626965,0.0195051,0.00870035,-0.199301,-0.173173,0.0214419,0.38822,-0.0341598,-0.046252,0.0208437,0.00862611,-0.0865977,-0.0174385,0.00641731,0.0876925,-0.0359027,-0.0414634,-0.011582,0.0156629,
0.032,-0.255143,-0.158152,0.0222584,0.354873,-0.0272434,-0.0282971,0.00398661,0.00631921,-0.250062,-0.16819,0.0219238,0.354006,-0.0276905,-0.0175282,0.00369104,0.00618237,-0.149075,-0.0192544,0.00631162,0.0520532,-0.031592,-0.0157872,-0.0277515,0.0133867,
0.033,-0.214258,-0.151041,0.0223817,0.318229,-0.0188043,0.00304047,0.0239003,0.00206649,-0.22907,-0.161228,0.0218599,0.319084,-0.0180276,0.00627784,0.020992,0.00186219,-0.130232,-0.0207032,0.00645399,0.017418,-0.022635,0.0104708,-0.0122484,0.00957947,
0.034,-0.0928866,-0.147188,0.0215559,0.295477,-0.00770543,0.0165858,0.0486612,0.00190505,-0.131881,-0.156288,0.020962,0.298727,-0.00611246,0.0132019,0.047454,0.00143057,-0.0456137,-0.0222982,0.00462917,-0.00102948,-0.0128413,0.0145909,0.0160514,0.00904263,
0.035,0.0429749,-0.134085,0.0177867,0.27701,-0.00361794,0.0189309,0.0461925,-0.000398361,-0.0199127,-0.140921,0.017633,0.283748,-0.00188733,0.0105857,0.0519365,-0.00131327,0.0575008,-0.0148381,0.0010299,-0.0125342,-0.00942551,0.0132374,0.019794,0.00687072,
0.036,0.149049,-0.119462,0.0157586,0.250976,0.00289668,0.0208103,0.0138925,-0.00240212,0.07278,-0.123937,0.0165109,0.262647,0.00440876,0.00777772,0.0266329,-0.00336799,0.138435,-0.00350138,-0.00136927,-0.0290061,-0.00489608,0.00794188,-0.00304669,0.00453071,
0.037,0.151986,-0.100077,0.00886612,0.257537,0.0206568,0.0144728,-0.00840851,-0.00767227,0.077864,-0.102651,0.0103512,0.274621,0.0216242,-0.00363752,0.00517158,-0.00813848,0.129068,0.0110578,-0.00848131,-0.0111767,0.0113721,-0.00349919,-0.0241307,0.000338194,
0.038,0.0971661,-0.0809757,0.000672094,0.294881,0.0359052,0.00464886,-0.0190662,-0.0128753,0.0375109,-0.0822199,0.00248265,0.314601,0.0358477,-0.016668,-0.0116778,-0.0125414,0.0781909,0.0273682,-0.0179501,0.035724,0.0243694,-0.0186525,-0.0383482,-0.00441284,
0.039,0.017129,-0.0487975,-0.00928231,0.280396,0.0339661,-0.0123461,-0.0188853,-0.0200972,-0.0249824,-0.0489058,-0.00746608,0.298626,0.0328528,-0.0322438,-0.018135,-0.0192458,-0.00240561,0.0556437,-0.0296206,0.0273162,0.020269,-0.0354315,-0.0435466,-0.0105867,
0.04,0.0131208,-0.0134043,-0.0227912,0.236875,0.0335199,0.00359787,-0.000859739,-0.0275733,-0.0120053,-0.0128985,-0.0208849,0.252854,0.031917,-0.00973932,-0.000933594,-0.0266098,0.00107759,0.0895372,-0.0449214,-0.00964269,0.0187372,-0.0148549,-0.0239132,-0.0182513,
0.041,0.0172802,-0.00175808,-0.0420743,0.210438,0.0322333,0.0350323,0.0366361,-0.0309447,0.0110489,-0.00135996,-0.0397493,0.224738,0.0301964,0.0296588,0.0400743,-0.0299738,0.00478945,0.0981432,-0.0661897,-0.0289516,0.0158071,0.0223949,0.0189416,-0.021207,
