RMS_Smoothed_Filtered_right_TA,RMS_Smoothed_Filtered_right_RF,RMS_Smoothed_Filtered_right_VM,RMS_Smoothed_Filtered_right_MG,RMS_Smoothed_Filtered_left_TA,RMS_Smoothed_Filtered_left_RF,RMS_Smoothed_Filtered_left_VM,RMS_Smoothed_Filtered_left_MG,MAV_mark,MAV_Smoothed_Filtered_right_TA,MAV_Smoothed_Filtered_right_RF,MAV_Smoothed_Filtered_right_VM,MAV_Smoothed_Filtered_right_MG,MAV_Smoothed_Filtered_left_TA,MAV_Smoothed_Filtered_left_RF,MAV_Smoothed_Filtered_left_VM,MAV_Smoothed_Filtered_left_MG,WL_mark,WL_Smoothed_Filtered_right_TA,WL_Smoothed_Filtered_right_RF,WL_Smoothed_Filtered_right_VM,WL_Smoothed_Filtered_right_MG,WL_Smoothed_Filtered_left_TA,WL_Smoothed_Filtered_left_RF,WL_Smoothed_Filtered_left_VM,WL_Smoothed_Filtered_left_MG,ZC_mark,ZC_Smoothed_Filtered_right_TA,ZC_Smoothed_Filtered_right_RF,ZC_Smoothed_Filtered_right_VM,ZC_Smoothed_Filtered_right_MG,ZC_Smoothed_Filtered_left_TA,ZC_Smoothed_Filtered_left_RF,ZC_Smoothed_Filtered_left_VM,ZC_Smoothed_Filtered_left_MG
0.0728098811002904,0.1864683462020479,0.1705735607884718,0.0777659058109987,0.0158519000429483,0.0502751661903735,0.0180004613840995,0.1203670591781938,0.0,0.0533186678970027,0.1188556201498493,0.1093585293727177,0.05337991282226,0.0120856652934748,0.0384346819157505,0.015078244303573,0.0909434692764724,0.0,8.052381107898414,7.076136301336079,9.76452499238798,3.3714688659770085,1.4987869540539345,2.9438142497427178,0.9976352887437152,10.445575325699656,0,43,18,26,19,40,20,18,32
0.0870916352602371,0.199696045381055,0.2246392220254631,0.0924287514848764,0.0262527113128852,0.0706989327728243,0.0277795855309289,0.1111027745121016,0.0,0.0614661898816286,0.1409628748390024,0.1651672553132099,0.0631718562003034,0.0169089050629558,0.0484605997331585,0.0213343118399552,0.0805731599803784,0.0,9.260962342403378,8.926988678167174,14.128761453459672,4.007611152375633,2.238101441439203,3.288356388544591,1.38110563529324,8.451676395816138,0,39,20,26,20,40,17,18,28
0.0770628523804952,0.2286875662690074,0.2736772983343312,0.0989601764915897,0.0420894221251747,0.0886949653936721,0.0342224097604284,0.0873382901609526,0.0,0.0507895655306916,0.1794012005909171,0.2229207044561476,0.0748100694560817,0.0289644328280195,0.0614636988541473,0.026339429828583,0.0588984008656356,0.0,7.17668226663206,10.868769516566688,18.394766880126674,4.183883447928816,3.8361987182189146,3.857265076464008,1.5195980605795585,4.71048163830541,0,38,19,23,19,32,17,19,21
0.0762168390661109,0.1837061658616746,0.2676129908190306,0.095261769602667,0.0463208171298151,0.1716146709817548,0.0706101880411367,0.039846498080113,0.0,0.0512862521714928,0.1404291559247959,0.2209324514827057,0.0705645267764603,0.0329420786509917,0.1253963091370287,0.0531081050926679,0.032332659848119,0.0,6.154223225434,9.7372554773059,15.987093203115544,3.549273996641234,4.622653834637928,7.288235294908474,2.839884791875582,1.9498055197205373,0,28,24,17,18,38,19,15,20
0.0621244298020186,0.1873513978607136,0.232965012111998,0.0791317175658473,0.0656942645080822,0.1710403084536699,0.0811071813484299,0.0656025420668754,0.0,0.0396250673862791,0.1511897427381532,0.1837983968272279,0.058586734486279,0.0490737656176804,0.1273192304554883,0.0624468783493929,0.0484292986275895,0.0,4.1231864586962,9.855162618480534,12.648129596659471,3.632419133183842,6.576341541123157,6.927805961026562,3.12813779509319,2.094721146524598,0,26,21,17,19,41,15,13,14
0.0415360699720874,0.1968514302873197,0.1840560631498296,0.0759606744522845,0.0725999509047786,0.171732239693282,0.0792050564175491,0.0995491976749008,0.0,0.0300653282160193,0.1620744071814094,0.1418927223181989,0.0539302147454215,0.0544520226095608,0.1295970883100016,0.05715538760483,0.0755947616876173,0.0,2.5557911703706475,9.946296576412667,9.117942943598573,3.7258056337643257,6.673066045668287,7.037850861270827,2.8810515700787795,3.365256439871473,0,28,19,18,21,39,18,13,14
0.0422094598862596,0.1694624474680819,0.1312408473917768,0.0753127496120757,0.0853691079747787,0.1075608310146556,0.0862963470567877,0.1067630741203001,0.0,0.0292197557967722,0.1380493514074032,0.0994630223552218,0.0544906929318214,0.0659008178176657,0.0798666229527116,0.0617673753981495,0.0856388461731376,0.0,2.176740693825894,7.316240952422924,7.270752282566511,3.948519126364268,8.238409578782553,4.840758748948455,2.72782133597532,3.723457236395338,0,30,17,18,22,40,17,13,14
0.0424450130561521,0.1440256018732611,0.1165605460965621,0.0728436838818113,0.1093970001591892,0.0859694378049231,0.0694164501217893,0.1016497459273008,0.0,0.0314032104838662,0.1170479371460185,0.09338161327304,0.0568696759268949,0.0861531341969672,0.0702556956001192,0.0463149747298935,0.0775046541130551,0.0,2.31844270774698,5.48258919437384,6.071035186059236,4.697234654142827,11.08062472874013,4.6745558898042745,2.9079786241893704,3.906724980292915,0,27,14,16,24,40,20,21,20
0.0675091688990339,0.1274948227910894,0.1368373568368369,0.1937806078775027,0.1226122420912037,0.1054927320265425,0.0855748705695745,0.0638545364690453,0.0,0.0504209806936264,0.1008576695765326,0.1069007021529438,0.1175657920151401,0.0985804952813801,0.0825833594909988,0.0651556055072727,0.0461124975753843,0.0,5.233574797174208,4.164264159684249,5.980664814650478,7.651410137517942,11.883672297647069,7.499793012590021,4.52908927822572,2.9317551692355206,0,31,14,15,24,38,28,23,25
0.1345957014651495,0.1791328660171819,0.2635329116971022,0.3054514854667954,0.1153969020830932,0.1170649534435252,0.0751531836143028,0.0333930458675388,0.0,0.0831508929215173,0.1363525323393433,0.1954697575304877,0.2192440983816554,0.0906465092466779,0.0949324679356728,0.0588975953225661,0.0255492921890329,0.0,7.790447793495485,6.580536226125319,10.332562227309989,12.662329274869771,10.163462255870884,8.571050112544189,4.6533435937586685,2.5153901278980952,0,31,14,16,23,35,30,26,34
