ZC_mark,ZC_Smoothed_Filtered_right_TA,ZC_Smoothed_Filtered_right_RF,ZC_Smoothed_Filtered_right_VM,ZC_Smoothed_Filtered_right_MG,ZC_Smoothed_Filtered_left_TA,ZC_Smoothed_Filtered_left_RF,ZC_Smoothed_Filtered_left_VM,ZC_Smoothed_Filtered_left_MG
0,29,23,23,19,44,23,25,19
0,37,18,23,19,40,24,27,27
0,40,15,25,25,38,21,24,39
0,47,14,25,28,36,20,23,42
0,46,13,22,29,30,18,17,39
0,49,15,22,30,32,20,19,35
0,41,14,24,20,27,21,18,28
0,45,16,23,20,29,19,16,20
0,48,18,19,17,30,18,15,18
0,47,20,18,22,35,15,16,19
0,42,23,19,24,33,18,18,25
0,44,26,23,33,37,40,31,59
0,44,19,20,34,45,35,31,71
0,48,16,21,34,48,35,28,70
0,48,20,22,27,50,35,22,62
0,48,19,26,23,52,34,27,44
0,46,20,25,27,45,34,26,35
0,41,25,28,30,48,27,28,35
0,42,36,26,33,45,22,26,36
0,43,41,26,30,48,18,22,34
0,45,37,23,27,51,16,16,26
0,44,31,25,35,46,17,16,26
0,47,25,27,45,46,18,15,26
0,45,21,30,48,45,29,18,31
0,37,18,30,46,46,33,22,32
0,36,14,29,34,49,30,25,28
0,38,16,23,29,45,30,24,27
0,46,17,18,29,40,30,25,20
0,48,16,17,27,35,30,21,22
0,53,16,19,31,35,25,20,25
0,44,21,23,30,29,22,17,30
0,51,25,22,24,35,17,19,27
0,47,21,21,18,42,16,21,22
0,44,17,18,18,46,14,22,21
0,40,17,25,21,43,17,18,21
0,37,17,24,24,35,18,16,24
0,41,18,28,30,42,26,24,27
0,40,15,26,36,48,32,30,29
0,43,14,27,39,49,32,34,26
0,36,16,26,30,42,26,34,21
0,34,18,20,22,32,22,27,23
0,35,19,16,22,30,22,27,25
0,41,20,16,24,33,25,21,33
0,46,22,18,25,39,27,23,38
0,48,22,24,22,42,28,20,39
0,45,21,25,15,41,24,21,33
0,43,25,25,15,46,18,22,27
0,47,22,22,16,47,16,19,17
0,44,23,21,21,49,18,19,20
0,45,23,20,31,50,19,20,18
0,43,20,19,32,50,22,22,21
0,49,20,19,32,48,30,23,20
0,52,20,18,24,49,32,22,27
0,50,22,17,24,43,34,22,31
0,51,27,14,26,38,25,21,27
0,49,27,13,27,37,22,18,34
0,50,23,16,25,36,21,20,31
0,44,22,20,18,38,21,23,34
0,36,16,25,19,45,19,25,31
0,29,19,23,19,43,18,26,21
0,21,19,21,24,44,20,24,19
0,18,19,18,26,41,19,21,16
0,23,21,21,27,42,17,19,21
0,31,19,19,26,45,18,16,24
0,42,21,17,25,45,18,22,25
0,50,22,16,20,45,23,26,26
0,55,19,16,21,39,22,31,29
0,46,19,19,20,41,23,34,34
0,39,19,21,19,37,20,36,39
0,44,17,25,21,34,26,29,33
0,49,17,25,28,38,28,28,30
0,48,15,25,29,43,26,20,32
0,45,17,25,33,47,27,26,37
0,44,19,23,25,48,20,19,31
0,47,21,25,24,46,22,22,30
0,54,21,27,21,39,21,22,24
0,52,18,29,25,39,20,22,25
0,46,21,30,27,42,21,24,21
0,44,19,25,32,42,21,28,21
0,41,18,24,27,47,24,30,26
0,39,18,26,24,46,26,32,29
0,37,19,27,15,36,27,28,31
0,31,19,29,12,31,21,22,36
0,34,18,26,15,26,18,19,38
0,36,16,21,18,23,19,19,40
0,43,18,24,22,22,17,21,40
0,54,23,24,21,27,19,19,35
0,52,25,28,23,33,16,17,32
0,47,25,29,22,41,23,17,24
0,36,23,29,22,41,21,19,18
0,26,18,26,25,43,20,16,13
0,24,18,25,25,44,16,18,14
0,24,16,26,33,42,20,22,16
0,33,18,29,31,39,20,30,25
0,44,18,29,24,31,20,34,25
0,42,18,28,21,21,19,31,25
0,42,17,19,17,23,18,28,24
0,39,16,18,21,26,16,23,25
0,36,16,22,29,36,16,26,34
0,40,18,26,27,34,14,26,36
0,40,20,27,24,34,14,20,30
0,39,20,26,21,35,14,22,22
0,34,18,22,27,33,14,17,13
0,24,17,19,34,35,14,18,13
0,27,14,17,31,37,15,20,16
0,31,15,22,40,39,18,19,16
0,47,14,25,42,42,23,24,17
0,54,15,30,42,48,36,24,25
0,50,18,25,35,50,35,29,30
0,45,16,19,28,53,33,34,29
0,43,16,19,22,51,24,30,26
0,47,16,19,20,41,25,30,22
0,41,16,22,23,39,22,22,35
0,43,19,25,26,31,23,24,41
0,43,22,25,28,33,22,22,43
0,40,22,29,26,36,19,21,30
0,39,21,28,20,34,14,18,19
0,35,24,26,14,41,17,16,14
0,33,23,23,18,40,16,17,18
0,31,25,19,24,48,19,17,20
0,43,24,22,37,46,29,19,22
0,46,22,19,41,45,37,20,28
0,49,20,19,34,37,35,23,34
0,39,19,16,26,36,32,29,36
0,40,18,16,21,37,24,28,39
0,36,21,16,23,35,22,27,45
0,40,22,20,27,29,20,26,46
0,41,23,24,26,28,17,28,51
0,33,19,31,28,23,15,22,44
0,41,32,51,41,33,28,43,37
0,38,31,51,34,30,27,38,45
0,41,27,33,28,31,26,35,50
0,42,23,21,26,30,30,34,50
0,47,20,19,21,28,33,34,46
0,53,19,20,21,30,35,33,44
0,46,20,23,18,40,25,27,45
0,45,19,29,20,52,21,20,46
0,50,25,32,22,57,21,17,44
0,45,25,31,32,54,21,24,34
0,46,25,31,36,45,20,33,32
0,51,21,28,36,39,21,31,26
0,44,21,27,42,43,22,22,27
0,43,19,22,44,42,23,13,27
0,44,18,22,49,47,25,18,30
0,42,18,20,45,47,26,23,37
0,45,19,18,36,52,21,25,34
0,42,19,11,26,49,25,26,27
0,41,19,11,19,42,24,30,17
0,43,22,15,16,33,25,29,13
0,39,24,19,17,33,26,28,19
0,40,27,29,18,38,25,23,27
0,37,28,30,18,36,20,22,36
0,40,23,36,22,37,20,20,39
0,42,19,34,24,33,19,25,34
0,42,17,27,25,35,20,24,23
0,41,17,19,22,40,17,22,14
0,45,17,13,20,41,20,17,15
0,48,15,16,28,41,24,22,19
0,44,13,14,33,43,27,29,24
0,44,13,15,32,45,28,35,25
0,48,13,14,24,45,33,36,22
0,52,13,17,15,44,30,36,26
0,47,15,21,16,42,27,31,28
0,42,16,24,16,43,26,29,32
0,31,16,22,20,40,19,31,35
0,35,23,21,22,39,14,31,38
0,45,23,26,25,35,12,26,45
0,54,24,25,21,37,13,22,35
0,51,18,24,18,38,18,15,27
0,41,16,20,24,42,18,13,23
0,30,14,20,30,42,20,15,24
0,26,16,22,40,45,16,24,28
0,29,15,19,35,42,25,32,29
0,36,16,18,29,36,22,38,24
0,43,18,18,22,34,26,33,22
0,49,19,24,18,35,29,29,20
0,48,18,27,21,38,27,25,28
0,44,20,28,21,43,22,20,36
0,35,19,20,26,45,16,21,41
0,25,20,27,30,42,18,19,40
0,20,18,27,31,40,18,20,43
0,21,20,29,25,38,23,20,36
0,20,21,25,22,35,21,22,30
0,25,17,24,18,34,23,25,19
0,30,15,25,18,31,26,25,20
0,42,15,21,25,35,27,27,29
0,46,17,18,22,39,29,27,32
0,51,21,19,19,40,25,28,28
0,45,21,15,15,33,20,26,22
0,38,19,19,15,24,18,22,16
0,33,16,22,15,26,17,20,21
0,32,18,28,16,24,19,20,28
0,36,18,34,20,24,20,20,41
0,33,18,37,25,24,17,18,45
0,34,14,30,36,30,14,18,40
0,25,19,24,35,33,14,17,32
0,22,21,25,32,35,15,17,20
0,23,24,24,25,39,18,16,16
0,25,23,23,29,35,23,18,13
0,26,16,16,37,42,29,28,20
0,31,12,12,35,39,29,31,27
0,39,16,15,26,36,28,36,31
0,44,17,19,16,35,22,30,31
0,41,18,19,15,30,19,22,31
0,38,17,15,19,30,12,20,34
0,28,17,17,18,38,16,23,38
0,31,14,22,23,37,19,20,40
0,33,14,29,27,36,19,17,38
0,29,14,29,30,35,22,15,37
0,25,17,29,29,34,19,14,37
0,21,18,22,27,36,19,13,29
0,23,22,19,23,37,16,14,28
0,29,19,16,32,34,23,16,18
0,31,20,16,35,37,27,21,17
0,36,16,18,35,35,27,21,22
0,39,16,20,26,39,24,23,27
0,37,15,20,16,40,20,18,23
0,36,14,19,18,41,19,15,22
0,36,18,24,17,42,20,12,27
0,38,22,28,20,43,24,16,31
0,39,28,27,25,41,26,20,35
0,38,28,28,27,44,27,20,30
0,34,28,19,30,45,22,19,31
0,33,19,16,25,42,17,15,29
0,33,16,16,27,41,20,19,25
0,29,18,14,31,36,27,18,20
0,29,19,11,42,35,27,21,21
0,29,20,10,38,44,23,28,21
0,29,17,14,31,41,20,31,21
0,34,16,20,23,41,16,29,26
0,29,15,23,20,34,23,23,22
0,25,16,21,22,29,23,17,27
0,26,19,21,21,29,23,20,27
0,29,26,24,17,29,20,24,38
0,38,28,32,19,33,18,25,37
0,34,28,31,21,37,15,25,32
0,28,21,27,22,33,13,20,20
0,24,19,26,22,38,15,19,19
0,19,17,22,23,43,18,16,20
0,24,24,20,29,43,26,18,20
0,35,23,16,32,39,31,22,30
0,42,23,13,31,32,32,24,27
0,47,20,13,24,23,25,26,27
0,48,18,14,15,18,21,24,27
0,42,19,16,15,21,15,21,25
0,41,16,16,17,36,15,22,33
0,39,15,21,20,48,14,24,39
