RMS_Smoothed_Filtered_right_TA,RMS_Smoothed_Filtered_right_RF,RMS_Smoothed_Filtered_right_VM,RMS_Smoothed_Filtered_right_MG,RMS_Smoothed_Filtered_left_TA,RMS_Smoothed_Filtered_left_RF,RMS_Smoothed_Filtered_left_VM,RMS_Smoothed_Filtered_left_MG
0.52346846655085,0.5039028048965035,0.49877905868597583,0.5039135656275825,0.5028478875507035,0.5036299164908461,0.5058503269158677,0.5034978118008805
0.530657554163969,0.5091838823940853,0.5036273262190766,0.49795473740351603,0.5127201818054515,0.4991038701846085,0.5051281167814133,0.503014695618012
0.5484199019400402,0.537022161575107,0.5170638432764451,0.5258879696618323,0.5127044808063289,0.5476803580400833,0.5060426351610514,0.5050469481428449
0.5504443346353892,0.540018237493363,0.5143034345731,0.5301709336898985,0.5320645401978755,0.5581373677309283,0.5057462812029814,0.5052125618347271
0.5272558501172808,0.5360121890335713,0.5117477535674044,0.5373058607307593,0.5746333533392479,0.5472625388918377,0.5055435279478507,0.5156593349439594
0.516568577756512,0.534612893436424,0.508170560211923,0.5276744569431295,0.589825920489732,0.521677961537518,0.506009066529832,0.5239672703347228
0.5085603198100506,0.5330032882339113,0.5050761950799221,0.5227355669283182,0.5885185640524513,0.5070706167408765,0.5060666365125713,0.5260447289872241
0.5076524055792446,0.5449224467917364,0.5104664786351267,0.5180005677016039,0.567433972967142,0.5046977826357347,0.5062258411965229,0.518940569387481
0.5098305352878693,0.5336063520149682,0.5092061011753104,0.5178473468744761,0.5574333042080084,0.497734421191601,0.5058591627837831,0.49792834851182205
0.5155120840257015,0.5168494640631873,0.513888257068319,0.5175513000034012,0.5161922906051706,0.5229501228313499,0.5060525641482971,0.5008174901277982
0.5530746731402615,0.531201611136277,0.5538660009992465,0.523492517891561,0.519905497765124,0.5215820189308388,0.505947849774701,0.5060668895115119
0.548534669572632,0.532280462201164,0.5952307844790279,0.5107864075102834,0.5066616858608558,0.5344486334668315,0.5062487518465468,0.5062355419855469
